job	pair	arm	config	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	best_mean_iou	best_mean_iou_step	final_mean_tversky	best_mean_tversky	final_patches	start_patches	max_patches	min_patches	mean_patches	final_mean_spill	final_mean_precision	final_mean_coverage	final_overlap	srd_total_adds	srd_total_splits	srd_total_deletes	total_seconds
neg_horse_circle_hinge2_aw0p125	horse_circle	hinge2	aw0p125	converged	3300	0.186242	0.904052	0.822330	0.985774	0.905097	3050	0.937853	0.942125	16	20	20	16	17.173	0.066005	0.937230	0.958736	0.00000188	0	0	4	10283.616
neg_acm_scf_hinge2_aw0p125	acm_scf	hinge2	aw0p125	converged	1925	0.290551	0.765180	0.665836	0.864525	0.768289	1450	0.901247	0.90338	18	20	20	18	19.231	0.082880	0.916079	0.833081	0.00000000	0	0	2	7074.938
neg_teapot_droplets_hinge2_aw0p125	teapot_droplets	hinge2	aw0p125	converged	2175	0.210206	0.771151	0.867682	0.674621	0.773639	1875	0.853553	0.858233	20	20	20	20	20.000	0.153752	0.862006	0.877760	0.00000681	0	0	0	8020.179
neg_sun_moon_srd_nonorm4	sun_moon	srd	nonorm4	converged	1800	0.100767	0.794355	0.743201	0.845510	0.811837	1525	0.953018	0.956844	19	20	20	19	19.630	0.023787	0.971400	0.813196	0.00005349	0	0	1	6790.188
neg_water_fire_srd_nonorm4	water_fire	srd	nonorm4	converged	2200	0.036884	0.913318	0.938648	0.887988	0.916703	2075	0.976033	0.977527	17	20	20	17	17.270	0.017520	0.981676	0.929450	0.00004293	0	0	3	7461.044
neg_cat_face_bass_srd_nonorm4	cat_face_bass	srd	nonorm4	converged	2600	0.082308	0.885212	0.920281	0.850143	0.885873	2500	0.965625	0.967418	16	20	20	16	17.543	0.025675	0.972401	0.907882	0.00000949	0	0	4	8592.700
neg_dance_argument_srd_nonorm4	dance_argument	srd	nonorm4	converged	2175	0.142273	0.782368	0.714244	0.850492	0.787262	1875	0.914638	0.918066	16	20	20	16	17.886	0.067547	0.926073	0.831703	0.00006683	0	0	4	7424.828
neg_horse_circle_srd_nonorm4	horse_circle	srd	nonorm4	converged	2175	0.091595	0.865586	0.789046	0.942125	0.867235	2050	0.970371	0.972777	17	20	20	17	17.682	0.016319	0.980785	0.878604	0.00071591	0	0	3	7437.771
neg_acm_scf_srd_nonorm4	acm_scf	srd	nonorm4	converged	3625	0.176497	0.717698	0.644276	0.791120	0.718183	3325	0.918713	0.92006	13	20	20	13	15.589	0.046548	0.944894	0.752830	0.00001674	0	0	7	10580.210
neg_teapot_droplets_srd_nonorm4	teapot_droplets	srd	nonorm4	converged	1500	0.146076	0.599728	0.632740	0.566716	0.613672	1075	0.827808	0.865766	19	20	20	19	19.426	0.117015	0.867719	0.666580	0.00000096	0	0	1	5564.657
neg_sun_moon_hinge2_nonorm4	sun_moon	hinge2	nonorm4	converged	1675	0.088711	0.800870	0.775141	0.826600	0.818697	1200	0.960038	0.962075	17	20	20	17	18.971	0.017075	0.979521	0.814593	0.00014294	0	0	3	6049.667
neg_water_fire_hinge2_nonorm4	water_fire	hinge2	nonorm4	converged	2300	0.030526	0.916251	0.952097	0.880405	0.917631	2225	0.981516	0.982201	15	20	20	15	16.269	0.011229	0.988043	0.926570	0.00000198	0	0	5	7329.989
neg_cat_face_bass_hinge2_nonorm4	cat_face_bass	hinge2	nonorm4	converged	2400	0.075313	0.890395	0.911988	0.868803	0.897155	2100	0.968806	0.970363	16	20	20	16	18.412	0.022663	0.975976	0.910729	0.00004511	0	0	4	8568.405
neg_dance_argument_hinge2_nonorm4	dance_argument	hinge2	nonorm4	converged	1775	0.134352	0.727593	0.719265	0.735922	0.753417	900	0.930056	0.930635	19	20	20	19	19.194	0.035537	0.955450	0.753312	0.00009513	0	0	1	6354.420
neg_horse_circle_hinge2_nonorm4	horse_circle	hinge2	nonorm4	converged	1875	0.098679	0.840192	0.797771	0.882614	0.840787	1850	0.969031	0.970159	15	20	20	15	17.263	0.013684	0.983837	0.851145	0.00013576	0	0	5	6266.346
neg_acm_scf_hinge2_nonorm4	acm_scf	hinge2	nonorm4	converged	1500	0.286893	0.555861	0.534880	0.576841	0.599767	1025	0.834123	0.875215	19	20	20	19	19.492	0.090582	0.879785	0.607380	0.00000000	0	0	1	7229.743
neg_teapot_droplets_hinge2_nonorm4	teapot_droplets	hinge2	nonorm4	converged	1500	0.155500	0.614410	0.607331	0.621489	0.641263	1175	0.825752	0.857537	19	20	20	19	19.820	0.128837	0.866708	0.694345	0.00006954	0	0	1	5545.134
neg_sun_moon_srd_aw0p1875	sun_moon	srd	aw0p1875	converged	1600	0.210395	0.871634	0.774499	0.968768	0.873970	1400	0.941194	0.94278	17	20	20	17	18.200	0.054037	0.943046	0.914780	0.00273530	0	0	3	5695.441
neg_water_fire_srd_aw0p1875	water_fire	srd	aw0p1875	converged	2125	0.109791	0.910179	0.926829	0.893529	0.913328	1500	0.934793	0.943263	19	20	23	19	20.907	0.073064	0.930486	0.976450	0.00024593	3	0	4	7922.642
neg_cat_face_bass_srd_aw0p1875	cat_face_bass	srd	aw0p1875	converged	2275	0.113313	0.933737	0.940754	0.926720	0.936073	1975	0.958754	0.961826	14	20	20	14	16.478	0.043766	0.957034	0.974613	0.00009630	0	0	6	6827.975
neg_dance_argument_srd_aw0p1875	dance_argument	srd	aw0p1875	converged	1600	0.219843	0.846290	0.804551	0.888028	0.850404	1300	0.92966	0.935279	17	20	20	17	18.785	0.064457	0.933599	0.899517	0.00008709	0	0	3	5646.149
neg_horse_circle_srd_aw0p1875	horse_circle	srd	aw0p1875	converged	2200	0.245344	0.887758	0.790211	0.985305	0.889433	1900	0.919427	0.934721	18	20	20	18	18.764	0.088778	0.918344	0.958783	0.00005165	0	0	2	7873.037
neg_acm_scf_srd_aw0p1875	acm_scf	srd	aw0p1875	converged	2350	0.407198	0.732487	0.648807	0.816167	0.735894	2050	0.869103	0.874466	17	20	20	17	18.537	0.118837	0.886574	0.825793	0.00000000	0	0	3	8260.161
neg_teapot_droplets_srd_aw0p1875	teapot_droplets	srd	aw0p1875	converged	2800	0.239514	0.780035	0.892668	0.667401	0.802818	2500	0.847466	0.865691	18	20	20	18	18.726	0.167504	0.853681	0.895584	0.00037866	0	0	2	10048.252
neg_sun_moon_hinge2_aw0p1875	sun_moon	hinge2	aw0p1875	converged	2175	0.200201	0.874267	0.799377	0.949156	0.875783	1875	0.940768	0.947689	15	20	20	15	17.318	0.055758	0.941971	0.921582	0.00027191	0	0	5	7156.963
neg_water_fire_hinge2_aw0p1875	water_fire	hinge2	aw0p1875	converged	1650	0.133674	0.895441	0.926230	0.864652	0.895709	1350	0.932286	0.932286	18	20	23	18	20.149	0.073015	0.929893	0.959922	0.00009618	3	0	5	6426.823
neg_cat_face_bass_hinge2_aw0p1875	cat_face_bass	hinge2	aw0p1875	shed_converged	2400	0.145200	0.913446	0.914459	0.912432	0.933228	1625	0.95286	0.966548	7	20	20	7	15.990	0.047855	0.952449	0.957164	0.00001260	0	0	13	7575.766
neg_dance_argument_hinge2_aw0p1875	dance_argument	hinge2	aw0p1875	converged	1575	0.208890	0.851833	0.805997	0.897669	0.853020	1550	0.931155	0.93414	18	20	20	18	18.969	0.063657	0.935090	0.904312	0.00013721	0	0	2	5590.401
neg_horse_circle_hinge2_aw0p1875	horse_circle	hinge2	aw0p1875	converged	2500	0.267475	0.868060	0.750706	0.985415	0.868060	2500	0.921435	0.934676	19	20	20	19	19.079	0.080144	0.921225	0.929103	0.00024391	0	0	1	9243.917
neg_acm_scf_hinge2_aw0p1875	acm_scf	hinge2	aw0p1875	converged	1725	0.409425	0.724352	0.642923	0.805780	0.726806	1400	0.863559	0.871975	16	20	20	16	18.429	0.124490	0.885538	0.821871	0.00000000	0	0	4	9686.345
neg_teapot_droplets_hinge2_aw0p1875	teapot_droplets	hinge2	aw0p1875	converged	1800	0.239413	0.762117	0.899046	0.625188	0.768606	1500	0.809179	0.823162	19	20	20	19	19.137	0.227687	0.824124	0.907980	0.00013706	0	0	1	7029.086
