job	pair	arm	count_target_iou	count_lambda	count_power	count_margin_reward	count_hard_floor	count_start_mode	delete_eval_steps	shed_patience_evals	seed	stop_reason	final_step	count_target_reached	count_final_deficit	final_mean_iou	best_mean_iou	final_patches	shed_entered_step	shed_entry_patches	shed_entry_mean_iou	shed_evals	min_iou_after_target	patches_at_threshold	patches_shed_after_threshold	start_patches	max_patches	min_patches	final_mean_spill	final_mean_precision	final_mean_coverage	final_overlap	srd_total_adds	srd_total_splits	srd_total_deletes	total_seconds
h2_dance_argument_l2000	dance_argument	l2000	0.91	2000	1	5	True	on_target	15	8	0	converged	2125	False	0.016031	0.893969	0.901369	27	-1	-1	-1	0	-1	-1	-1	20	30	20	0.067809	0.934639	0.953711	0.00010738	12	0	5	10593.244
h2_dance_argument_l500	dance_argument	l500	0.91	500	1	5	True	on_target	15	8	0	converged	1000	False	0.016899	0.893101	0.900239	28	-1	-1	-1	0	-1	-1	-1	20	29	20	0.066562	0.934954	0.952095	0.00004807	13	1	6	5343.802
h2_horse_circle_l200	horse_circle	l200	0.91	200	1	5	True	on_target	15	8	0	shed_converged	2125	True	0.000000	0.916503	0.938016	11	1100	38	0.932305	42	0.886884	38	27	20	38	11	0.043534	0.956052	0.955164	0.00002374	33	0	42	11737.309
h2_horse_circle_l2000	horse_circle	l2000	0.91	2000	1	5	True	on_target	15	8	0	converged	1050	True	0.000000	0.918153	0.929526	42	-1	-1	-1	0	0.913178	47	5	20	47	20	0.045490	0.954896	0.959193	0.00102410	32	0	10	12551.333
h2_horse_circle_l500	horse_circle	l500	0.91	500	1	5	True	on_target	15	8	0	steps	3000	False	0.008704	0.901296	0.934678	18	650	39	0.934678	95	0.834290	39	21	20	39	18	0.063453	0.938038	0.957515	0.00121120	30	2	34	30462.871
h2_acm_scf_l200	acm_scf	l200	0.91	200	1	5	True	on_target	15	8	0	converged	1000	False	0.105684	0.804316	0.819456	28	-1	-1	-1	0	-1	-1	-1	20	32	20	0.158377	0.866894	0.928595	0.00004981	14	1	7	5462.621
h2_acm_scf_l2000	acm_scf	l2000	0.91	2000	1	5	True	on_target	15	8	0	converged	1050	False	0.103370	0.806630	0.812136	28	-1	-1	-1	0	-1	-1	-1	20	29	20	0.122513	0.892337	0.905869	0.00000872	11	4	7	5366.895
h2_acm_scf_l500	acm_scf	l500	0.91	500	1	5	True	on_target	15	8	0	converged	1125	False	0.089352	0.820648	0.844932	29	-1	-1	-1	0	-1	-1	-1	20	30	20	0.154603	0.869114	0.943681	0.00000224	16	2	9	5354.630
h2_teapot_droplets_l200	teapot_droplets	l200	0.91	200	1	5	True	on_target	15	8	0	converged	1025	False	0.110210	0.799790	0.818751	28	-1	-1	-1	0	-1	-1	-1	20	33	20	0.236779	0.830655	0.965232	0.00023021	20	1	13	8987.196
h2_teapot_droplets_l2000	teapot_droplets	l2000	0.91	2000	1	5	True	on_target	15	8	0	converged	1050	False	0.083985	0.826015	0.835373	30	-1	-1	-1	0	-1	-1	-1	20	32	20	0.191042	0.854923	0.967291	0.00000329	20	1	11	5468.579
h2_teapot_droplets_l500	teapot_droplets	l500	0.91	500	1	5	True	on_target	15	8	0	converged	1100	False	0.114320	0.795680	0.814457	31	-1	-1	-1	0	-1	-1	-1	20	33	20	0.251788	0.825022	0.966248	0.00047255	23	1	13	5697.920
