step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
2125,9189.400,0.355455,0.774952,0.714852,0.835052,22,0.00015716,2,0.076195,0.043819,0.108571,0.919780,0.944533,0.895028,0.835945,0.746176,0.925714,0.016414,0.014924,0.081164,0.021616
2150,9373.956,0.356488,0.774521,0.712759,0.836283,22,0.00016253,2,0.075564,0.044188,0.106939,0.920199,0.943955,0.896443,0.834985,0.744255,0.925714,0.016517,0.014745,0.081732,0.021428
2175,9402.715,0.359673,0.771950,0.712690,0.831211,22,0.00016955,2,0.080244,0.045223,0.115265,0.916089,0.942766,0.889411,0.835970,0.744920,0.927020,0.016938,0.015411,0.081712,0.021965
2200,9587.829,0.378370,0.760515,0.711254,0.809776,22,0.00018529,2,0.093499,0.044632,0.142367,0.904980,0.943334,0.866626,0.834030,0.742999,0.925061,0.016716,0.019611,0.082142,0.025774
2225,9616.195,0.397918,0.750203,0.704900,0.795506,22,0.00015806,2,0.105314,0.048179,0.162449,0.894682,0.938785,0.850578,0.831798,0.738861,0.924735,0.017966,0.022457,0.084114,0.028277
2250,9801.941,0.393293,0.752426,0.703638,0.801214,22,0.00015554,2,0.101185,0.045962,0.156408,0.898396,0.941221,0.855571,0.831255,0.735979,0.926531,0.017021,0.021695,0.084306,0.027397
2275,9830.393,0.387196,0.755754,0.709584,0.801923,22,0.00016877,2,0.101662,0.048548,0.154776,0.897772,0.938747,0.856798,0.835037,0.744033,0.926041,0.017695,0.021153,0.082636,0.026966
2300,10014.216,0.387987,0.754595,0.706069,0.803121,22,0.00017958,2,0.098417,0.045814,0.151020,0.900576,0.941581,0.859572,0.831413,0.738417,0.924408,0.017003,0.020707,0.083601,0.026831
2325,10042.757,0.389450,0.754100,0.700656,0.807544,22,0.00022495,2,0.097041,0.047144,0.146939,0.901350,0.939623,0.863076,0.829946,0.733688,0.926204,0.017471,0.019969,0.085125,0.025920
2350,10227.584,0.389586,0.754223,0.702567,0.805879,22,0.00019868,2,0.098688,0.047661,0.149714,0.900039,0.939185,0.860892,0.831292,0.736053,0.926531,0.017471,0.020393,0.084622,0.026262
2375,10255.659,0.388060,0.755339,0.702032,0.808647,22,0.00031183,2,0.095838,0.047513,0.144163,0.902251,0.939311,0.865191,0.830306,0.735388,0.925224,0.017659,0.019535,0.084968,0.025716
