job_id	job_name	pair	arm	add_weight	delete_weight	split_weight	output_dir
4178284	ow_horse_circle_add_p1	horse_circle	add_p1	0.1	0.207692	0.692308	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_horse_circle_add_p1
4178285	ow_horse_circle_add_p175	horse_circle	add_p175	0.175	0.190385	0.634615	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_horse_circle_add_p175
4178286	ow_horse_circle_add_p25	horse_circle	add_p25	0.25	0.173077	0.576923	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_horse_circle_add_p25
4178287	ow_horse_circle_default	horse_circle	default	0.35	0.15	0.5	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_horse_circle_default
4178288	ow_horse_circle_split_p2	horse_circle	split_p2	0.56	0.24	0.2	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_horse_circle_split_p2
4178289	ow_horse_circle_split_p35	horse_circle	split_p35	0.455	0.195	0.35	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_horse_circle_split_p35
4178290	ow_horse_circle_split_p65	horse_circle	split_p65	0.245	0.105	0.65	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_horse_circle_split_p65
4178291	ow_horse_circle_split_p8	horse_circle	split_p8	0.14	0.06	0.8	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_horse_circle_split_p8
4178292	ow_cat_face_bass_add_p05	cat_face_bass	add_p05	0.05	0.219231	0.730769	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_cat_face_bass_add_p05
4178293	ow_cat_face_bass_add_p1	cat_face_bass	add_p1	0.1	0.207692	0.692308	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_cat_face_bass_add_p1
4178294	ow_cat_face_bass_add_p175	cat_face_bass	add_p175	0.175	0.190385	0.634615	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_cat_face_bass_add_p175
4178295	ow_cat_face_bass_add_p25	cat_face_bass	add_p25	0.25	0.173077	0.576923	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_cat_face_bass_add_p25
4178296	ow_cat_face_bass_default	cat_face_bass	default	0.35	0.15	0.5	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_cat_face_bass_default
4178297	ow_cat_face_bass_split_p2	cat_face_bass	split_p2	0.56	0.24	0.2	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_cat_face_bass_split_p2
4178298	ow_cat_face_bass_split_p35	cat_face_bass	split_p35	0.455	0.195	0.35	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_cat_face_bass_split_p35
4178299	ow_cat_face_bass_split_p65	cat_face_bass	split_p65	0.245	0.105	0.65	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_cat_face_bass_split_p65
4178300	ow_cat_face_bass_split_p8	cat_face_bass	split_p8	0.14	0.06	0.8	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_cat_face_bass_split_p8
4178301	ow_water_fire_add_p05	water_fire	add_p05	0.05	0.219231	0.730769	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_water_fire_add_p05
4178302	ow_water_fire_add_p1	water_fire	add_p1	0.1	0.207692	0.692308	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_water_fire_add_p1
4178303	ow_water_fire_add_p175	water_fire	add_p175	0.175	0.190385	0.634615	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_water_fire_add_p175
4178304	ow_water_fire_add_p25	water_fire	add_p25	0.25	0.173077	0.576923	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_water_fire_add_p25
4178305	ow_water_fire_default	water_fire	default	0.35	0.15	0.5	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_water_fire_default
4178306	ow_water_fire_split_p2	water_fire	split_p2	0.56	0.24	0.2	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_water_fire_split_p2
4178307	ow_water_fire_split_p35	water_fire	split_p35	0.455	0.195	0.35	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_water_fire_split_p35
4178308	ow_water_fire_split_p65	water_fire	split_p65	0.245	0.105	0.65	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_water_fire_split_p65
4178309	ow_water_fire_split_p8	water_fire	split_p8	0.14	0.06	0.8	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_water_fire_split_p8
4178310	ow_acm_scf_add_p05	acm_scf	add_p05	0.05	0.219231	0.730769	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_acm_scf_add_p05
4178311	ow_acm_scf_add_p1	acm_scf	add_p1	0.1	0.207692	0.692308	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_acm_scf_add_p1
4178312	ow_acm_scf_add_p175	acm_scf	add_p175	0.175	0.190385	0.634615	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_acm_scf_add_p175
4178313	ow_acm_scf_add_p25	acm_scf	add_p25	0.25	0.173077	0.576923	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_acm_scf_add_p25
4178314	ow_acm_scf_default	acm_scf	default	0.35	0.15	0.5	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_acm_scf_default
4178315	ow_acm_scf_split_p2	acm_scf	split_p2	0.56	0.24	0.2	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_acm_scf_split_p2
4178316	ow_acm_scf_split_p35	acm_scf	split_p35	0.455	0.195	0.35	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_acm_scf_split_p35
4178317	ow_acm_scf_split_p65	acm_scf	split_p65	0.245	0.105	0.65	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_acm_scf_split_p65
4178318	ow_acm_scf_split_p8	acm_scf	split_p8	0.14	0.06	0.8	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_acm_scf_split_p8
4178319	ow_siggraph_sigchi_add_p05	siggraph_sigchi	add_p05	0.05	0.219231	0.730769	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_siggraph_sigchi_add_p05
4178320	ow_siggraph_sigchi_add_p1	siggraph_sigchi	add_p1	0.1	0.207692	0.692308	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_siggraph_sigchi_add_p1
4178321	ow_siggraph_sigchi_add_p175	siggraph_sigchi	add_p175	0.175	0.190385	0.634615	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_siggraph_sigchi_add_p175
4178322	ow_siggraph_sigchi_add_p25	siggraph_sigchi	add_p25	0.25	0.173077	0.576923	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_siggraph_sigchi_add_p25
4178326	ow_siggraph_sigchi_default	siggraph_sigchi	default	0.35	0.15	0.5	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_siggraph_sigchi_default
4178327	ow_siggraph_sigchi_split_p2	siggraph_sigchi	split_p2	0.56	0.24	0.2	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_siggraph_sigchi_split_p2
4178328	ow_siggraph_sigchi_split_p35	siggraph_sigchi	split_p35	0.455	0.195	0.35	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_siggraph_sigchi_split_p35
4178329	ow_siggraph_sigchi_split_p65	siggraph_sigchi	split_p65	0.245	0.105	0.65	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_siggraph_sigchi_split_p65
4178330	ow_siggraph_sigchi_split_p8	siggraph_sigchi	split_p8	0.14	0.06	0.8	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_siggraph_sigchi_split_p8
4178331	ow_crane_crab_add_p05	crane_crab	add_p05	0.05	0.219231	0.730769	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_crane_crab_add_p05
4178332	ow_crane_crab_add_p1	crane_crab	add_p1	0.1	0.207692	0.692308	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_crane_crab_add_p1
4178333	ow_crane_crab_add_p175	crane_crab	add_p175	0.175	0.190385	0.634615	/oscar/home/cjmok/automated-perspective-sculptor/results/opweights/ow_20260722_1223/ow_crane_crab_add_p175
