job	pair	arm_tag	arm	seed	overlap_mode	overlap_repair	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	final_mean_spill	final_view1_spill	final_view2_spill	final_mean_precision	final_mean_coverage	best_mean_spill	final_patches	start_patches	max_patches	min_patches	mean_patches	final_overlap	best_mean_iou	best_mean_iou_step	best_loss	best_loss_step	srd_total_adds	srd_total_deletes	total_seconds	iou_0p50_steps	iou_0p50_seconds	iou_0p60_steps	iou_0p60_seconds	iou_0p70_steps	iou_0p70_seconds	iou_0p75_steps	iou_0p75_seconds	iou_0p80_steps	iou_0p80_seconds	iou_0p85_steps	iou_0p85_seconds	iou_0p90_steps	iou_0p90_seconds	rel_90pct_steps	rel_90pct_seconds	rel_95pct_steps	rel_95pct_seconds	rel_99pct_steps	rel_99pct_seconds
hard_dancer_guitar_srd_seed0	dancer_guitar	srd	srd	0	planar	True	converged	2400	0.054202	0.926079	0.914767	0.937391	0.032069	0.035722	0.028417	0.967517	0.955736	0.031043	32	20	32	20	30.454	0.00002412	0.927472	2100	0.054140	2100	24	12	14614.456	75	224.075	100	419.541	175	719.728	200	963.705	225	1001.058	300	1550.691	825	4572.676	275	1280.216	550	3070.349	1675	9813.899
hard_dancer_guitar_srd_seed1	dancer_guitar	srd	srd	1	planar	True	converged	1675	0.040660	0.937745	0.918396	0.957095	0.019599	0.028947	0.010252	0.979893	0.955943	0.018341	26	20	29	20	26.500	0.00003545	0.940815	1450	0.039330	1375	18	12	8491.350	50	200.159	75	231.139	100	426.160	125	460.772	200	944.870	300	1484.129	575	2914.943	300	1484.129	450	2326.747	925	4732.347
hard_dancer_guitar_srd_seed2	dancer_guitar	srd	srd	2	planar	True	converged	1000	0.076252	0.888334	0.885193	0.891476	0.026077	0.024636	0.027518	0.972196	0.911504	0.021650	26	20	28	20	25.415	0.00003520	0.889235	600	0.074621	600	23	17	4884.595	75	222.761	125	429.054	200	847.117	250	1083.357	300	1334.194	350	1606.852	-1	-1	300	1334.194	350	1606.852	475	2166.906
hard_siggraph_sigchi_basic_seed0	siggraph_sigchi	basic	basic	0	planar	True	converged	2200	0.209086	0.759453	0.807505	0.711402	0.122205	0.034585	0.209825	0.882120	0.848052	0.099305	20	20	20	20	20.000	0.00033936	0.792017	1900	0.174831	1900	-	-	2005.730	175	163.868	250	234.197	650	601.099	1275	1163.870	-1	-1	-1	-1	-1	-1	700	646.608	1300	1186.453	1800	1637.719
hard_siggraph_sigchi_basic_seed1	siggraph_sigchi	basic	basic	1	planar	True	converged	2375	0.223762	0.735786	0.870538	0.601034	0.168750	0.049130	0.288371	0.838801	0.843831	0.081222	20	20	20	20	20.000	0.00053902	0.739076	2075	0.217056	2075	-	-	2289.117	200	201.682	375	374.738	1225	1197.438	-1	-1	-1	-1	-1	-1	-1	-1	475	473.556	1225	1197.438	1825	1767.093
hard_siggraph_sigchi_basic_seed2	siggraph_sigchi	basic	basic	2	planar	True	converged	2225	0.268837	0.668010	0.807810	0.528210	0.146745	0.043976	0.249514	0.838051	0.751670	0.097861	20	20	20	20	20.000	0.00033669	0.765380	2025	0.198389	1825	-	-	2144.988	150	153.118	300	305.008	725	729.940	1450	1430.437	-1	-1	-1	-1	-1	-1	675	678.946	1300	1289.176	1825	1775.463
hard_siggraph_sigchi_srd_no_swept_seed0	siggraph_sigchi	srd_no_swept	srd_no_swept	0	planar	True	converged	1800	0.194050	0.780128	0.812362	0.747893	0.110705	0.035731	0.185679	0.893063	0.864075	0.082334	19	20	23	19	19.384	0.00006081	0.788827	1675	0.187807	1500	17	18	6049.138	175	526.980	275	852.253	500	1697.564	1025	3366.577	-1	-1	-1	-1	-1	-1	550	1869.431	1025	3366.577	1400	4693.371
hard_siggraph_sigchi_srd_no_swept_seed1	siggraph_sigchi	srd_no_swept	srd_no_swept	1	planar	True	converged	1175	0.263654	0.655119	0.853396	0.456842	0.142714	0.021759	0.263669	0.831061	0.724631	0.084997	16	20	24	16	18.750	0.00008230	0.658579	875	0.247073	875	12	16	4012.647	200	775.532	275	997.163	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	250	971.652	450	1704.902	800	2899.727
hard_siggraph_sigchi_srd_no_swept_seed2	siggraph_sigchi	srd_no_swept	srd_no_swept	2	planar	True	converged	3300	0.143849	0.832817	0.859748	0.805887	0.088591	0.036189	0.140994	0.914007	0.905186	0.077406	17	20	27	17	20.534	0.00001162	0.837522	3075	0.139964	3125	16	19	12499.924	150	639.731	250	1098.416	325	1362.229	475	2074.181	1825	7628.752	-1	-1	-1	-1	775	3440.936	1800	7604.406	2450	9788.088
hard_siggraph_sigchi_srd_seed0	siggraph_sigchi	srd	srd	0	planar	True	converged	1300	0.155705	0.802897	0.880448	0.725345	0.093621	0.022103	0.165140	0.906283	0.872519	0.090097	27	20	28	20	26.358	0.00009876	0.802897	1300	0.155364	1000	18	11	6539.719	125	428.507	200	820.937	325	1347.374	500	2369.659	1000	4983.787	-1	-1	-1	-1	350	1578.620	625	2925.202	900	4461.011
hard_siggraph_sigchi_srd_seed1	siggraph_sigchi	srd	srd	1	planar	True	converged	1175	0.209906	0.721919	0.887856	0.555982	0.132001	0.034471	0.229531	0.856229	0.801029	0.088525	31	20	35	20	30.333	0.00017793	0.760354	875	0.176609	875	26	15	6724.037	175	699.336	325	1524.082	525	2759.601	850	4906.110	-1	-1	-1	-1	-1	-1	475	2431.233	600	3355.726	850	4906.110
hard_siggraph_sigchi_srd_seed2	siggraph_sigchi	srd	srd	2	planar	True	converged	2325	0.132252	0.844785	0.927357	0.762212	0.120943	0.037334	0.204552	0.890220	0.940051	0.086913	26	20	29	20	25.617	0.00029999	0.877020	2025	0.103458	2025	20	14	10450.870	150	583.363	250	1022.188	400	1767.849	525	2279.381	1375	6072.014	1750	7917.831	-1	-1	1250	5610.277	1700	7686.025	1900	8611.195
hard_teapot_droplets_basic_seed0	teapot_droplets	basic	basic	0	planar	True	converged	1000	0.460715	0.567649	0.719708	0.415589	0.525294	0.053457	0.997131	0.694199	0.794084	0.143215	20	20	20	20	20.000	0.00048705	0.725609	650	0.208853	675	-	-	1001.973	125	124.773	275	275.126	525	526.733	-1	-1	-1	-1	-1	-1	-1	-1	350	349.641	400	399.694	625	630.313
hard_teapot_droplets_basic_seed1	teapot_droplets	basic	basic	1	planar	True	converged	1050	0.224091	0.720028	0.832867	0.607189	0.206316	0.015574	0.397059	0.831542	0.847058	0.140120	20	20	20	20	20.000	0.00047387	0.737247	725	0.210903	750	-	-	1403.695	125	171.221	250	340.302	375	509.275	-1	-1	-1	-1	-1	-1	-1	-1	325	442.292	375	509.275	525	710.127
hard_teapot_droplets_basic_seed2	teapot_droplets	basic	basic	2	planar	True	converged	1175	0.304512	0.596557	0.810091	0.383023	0.218541	0.051142	0.385940	0.761187	0.691184	0.141079	20	20	20	20	20.000	0.00000349	0.618959	875	0.267544	875	-	-	1588.982	125	177.209	275	389.704	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	175	248.410	225	319.059	475	665.168
hard_teapot_droplets_srd_no_swept_seed0	teapot_droplets	srd_no_swept	srd_no_swept	0	planar	True	converged	1125	0.186055	0.754746	0.866714	0.642778	0.160777	0.030306	0.291248	0.853709	0.861483	0.127139	23	20	24	18	21.652	0.00003947	0.754746	1125	0.184059	825	14	11	4550.602	150	548.839	225	758.691	425	1568.582	775	3061.360	-1	-1	-1	-1	-1	-1	375	1353.891	475	1784.442	775	3061.360
hard_teapot_droplets_srd_no_swept_seed1	teapot_droplets	srd_no_swept	srd_no_swept	1	planar	True	converged	1100	0.198408	0.744158	0.872772	0.615544	0.202424	0.015679	0.389168	0.834925	0.870775	0.138456	26	20	26	20	23.378	0.00007330	0.772169	800	0.167875	800	15	9	4618.579	125	386.675	225	774.142	375	1377.506	550	2183.830	-1	-1	-1	-1	-1	-1	375	1377.506	475	1789.235	675	2662.073
hard_teapot_droplets_srd_no_swept_seed2	teapot_droplets	srd_no_swept	srd_no_swept	2	planar	True	converged	1000	0.315318	0.583121	0.773747	0.392495	0.216367	0.018100	0.414634	0.775013	0.671494	0.147802	19	20	24	19	20.805	0.00031960	0.599968	425	0.293313	350	12	13	3907.574	125	435.170	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	150	617.337	200	828.431	350	1461.035
hard_teapot_droplets_srd_seed0	teapot_droplets	srd	srd	0	planar	True	converged	1675	0.140405	0.816023	0.924320	0.707726	0.174913	0.021993	0.327834	0.859309	0.942195	0.120080	35	20	36	20	31.500	0.00001337	0.834088	1375	0.122071	1375	29	14	9988.042	100	377.463	175	615.565	250	1083.043	325	1381.489	725	3760.456	-1	-1	-1	-1	325	1381.489	450	2234.753	1125	6287.650
hard_teapot_droplets_srd_seed1	teapot_droplets	srd	srd	1	planar	True	converged	1000	0.199894	0.761966	0.865383	0.658549	0.225150	0.021677	0.428623	0.831539	0.912480	0.125730	31	20	33	20	30.220	0.00137600	0.803252	600	0.150045	600	18	7	5352.779	100	367.115	175	609.802	250	1076.162	275	1114.640	575	2846.534	-1	-1	-1	-1	275	1114.640	300	1361.432	525	2556.442
hard_teapot_droplets_srd_seed2	teapot_droplets	srd	srd	2	planar	True	converged	1250	0.141471	0.821341	0.886831	0.755852	0.122267	0.033989	0.210545	0.888598	0.915983	0.106064	34	20	37	20	32.980	0.00011594	0.829151	950	0.133324	950	21	7	7917.363	100	420.337	125	454.721	200	951.126	250	1245.443	650	3778.602	-1	-1	-1	-1	250	1245.443	400	2181.687	900	5522.690
