step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
1450,8601.702,0.133630,0.826244,0.912879,0.739610,35,0.00006044,2,0.148269,0.027886,0.268651,0.874277,0.971139,0.777415,0.938321,0.938335,0.938307,0.006346,0.015345,0.016262,0.017422
1475,8647.576,0.144813,0.814270,0.907084,0.721456,35,0.00002992,1,0.165019,0.029464,0.300574,0.863398,0.969412,0.757383,0.936059,0.933810,0.938307,0.006490,0.017206,0.017277,0.019139
1500,8940.094,0.138848,0.817202,0.916152,0.718252,35,0.00003030,1,0.163225,0.021572,0.304878,0.866009,0.977470,0.754548,0.936573,0.935915,0.937231,0.004727,0.017621,0.015441,0.019661
1525,8985.297,0.130926,0.826006,0.916925,0.735088,35,0.00002410,2,0.150262,0.019678,0.280846,0.874817,0.979387,0.770246,0.938252,0.934968,0.941535,0.004198,0.016290,0.015260,0.018132
1550,9273.284,0.128867,0.825252,0.919370,0.731135,35,0.00002259,0,0.149360,0.015364,0.283357,0.875932,0.983808,0.768056,0.935901,0.933495,0.938307,0.003292,0.016341,0.014814,0.018320
1575,9317.281,0.126482,0.827674,0.922518,0.732829,35,0.00002434,0,0.146967,0.014522,0.279412,0.877565,0.984721,0.770410,0.936752,0.935915,0.937590,0.003208,0.016120,0.014284,0.018207
1600,9607.284,0.125346,0.829227,0.923852,0.734602,36,0.00001965,0,0.147074,0.012943,0.281205,0.878155,0.986358,0.769953,0.938493,0.935810,0.941176,0.002968,0.016267,0.014077,0.018084
1625,9652.311,0.132348,0.821858,0.923157,0.720560,36,0.00003470,0,0.160702,0.014732,0.306671,0.869414,0.984517,0.754310,0.939146,0.936757,0.941535,0.003233,0.017820,0.014013,0.019569
1650,9943.748,0.142244,0.811205,0.926436,0.695975,35,0.00001462,0,0.185712,0.017047,0.354376,0.854499,0.982229,0.726770,0.942420,0.942229,0.942611,0.003812,0.020366,0.013425,0.021898
1675,9988.030,0.140405,0.816023,0.924320,0.707726,35,0.00001337,0,0.174913,0.021993,0.327834,0.859309,0.977248,0.741370,0.942195,0.944649,0.939742,0.004964,0.018936,0.014124,0.020725
