pair	group	n	milestone	mean_steps	mean_seconds	reached
cat_face_bass	srd	3	iou_0p50	75	272.708	3/3
cat_face_bass	srd	3	iou_0p60	100	508.18	3/3
cat_face_bass	srd	3	iou_0p70	133.333	729.497	3/3
cat_face_bass	srd	3	iou_0p75	175	972.073	3/3
cat_face_bass	srd	3	iou_0p80	208.333	1155.47	3/3
cat_face_bass	srd	3	iou_0p85	241.667	1390.8	3/3
cat_face_bass	srd	3	iou_0p90	358.333	2114.77	3/3
cat_face_bass	srd	3	rel_90pct	258.333	1491.29	3/3
cat_face_bass	srd	3	rel_95pct	425	2526.59	3/3
cat_face_bass	srd	3	rel_99pct	1216.67	7686.5	3/3
cat_face_bass	srd_no_swept	3	iou_0p50	75	228.395	3/3
cat_face_bass	srd_no_swept	3	iou_0p60	100	417.082	3/3
cat_face_bass	srd_no_swept	3	iou_0p70	158.333	661.096	3/3
cat_face_bass	srd_no_swept	3	iou_0p75	200	811.553	3/3
cat_face_bass	srd_no_swept	3	iou_0p80	241.667	1003.07	3/3
cat_face_bass	srd_no_swept	3	iou_0p85	308.333	1274.11	3/3
cat_face_bass	srd_no_swept	3	iou_0p90	683.333	2862.34	3/3
cat_face_bass	srd_no_swept	3	rel_90pct	300	1263.89	3/3
cat_face_bass	srd_no_swept	3	rel_95pct	633.333	2707.44	3/3
cat_face_bass	srd_no_swept	3	rel_99pct	1358.33	5496.75	3/3
horse_circle	basic	3	iou_0p50	75	80.1627	3/3
horse_circle	basic	3	iou_0p60	91.6667	98.0257	3/3
horse_circle	basic	3	iou_0p70	116.667	124.928	3/3
horse_circle	basic	3	iou_0p75	150	160.68	3/3
horse_circle	basic	3	iou_0p80	208.333	223.148	3/3
horse_circle	basic	3	iou_0p85	483.333	512.643	3/3
horse_circle	basic	3	iou_0p90	1300	1346.24	2/3
horse_circle	basic	3	rel_90pct	225	240.586	3/3
horse_circle	basic	3	rel_95pct	400	426.035	3/3
horse_circle	basic	3	rel_99pct	1166.67	1215.13	3/3
horse_circle	srd	3	iou_0p50	75	272.507	3/3
horse_circle	srd	3	iou_0p60	100	493.507	3/3
horse_circle	srd	3	iou_0p70	133.333	633.3	3/3
horse_circle	srd	3	iou_0p75	158.333	783.244	3/3
horse_circle	srd	3	iou_0p80	200	1010.87	3/3
horse_circle	srd	3	iou_0p85	291.667	1600.36	3/3
horse_circle	srd	3	iou_0p90	433.333	2689.77	3/3
horse_circle	srd	3	rel_90pct	275	1564.99	3/3
horse_circle	srd	3	rel_95pct	408.333	2586.88	3/3
horse_circle	srd	3	rel_99pct	1433.33	9545.29	3/3
horse_circle	srd_no_swept	3	iou_0p50	75	223.153	3/3
horse_circle	srd_no_swept	3	iou_0p60	100	401.857	3/3
horse_circle	srd_no_swept	3	iou_0p70	133.333	490.329	3/3
horse_circle	srd_no_swept	3	iou_0p75	175	693.989	3/3
horse_circle	srd_no_swept	3	iou_0p80	225	908.724	3/3
horse_circle	srd_no_swept	3	iou_0p85	316.667	1304.84	3/3
horse_circle	srd_no_swept	3	iou_0p90	816.667	3510.28	3/3
horse_circle	srd_no_swept	3	rel_90pct	283.333	1201.32	3/3
horse_circle	srd_no_swept	3	rel_95pct	550	2191.44	3/3
horse_circle	srd_no_swept	3	rel_99pct	900	3839.76	3/3
sun_moon	basic	3	iou_0p50	66.6667	84.2647	3/3
sun_moon	basic	3	iou_0p60	91.6667	114.759	3/3
sun_moon	basic	3	iou_0p70	133.333	173.314	3/3
sun_moon	basic	3	iou_0p75	183.333	239.855	3/3
sun_moon	basic	3	iou_0p80	283.333	365.412	3/3
sun_moon	basic	3	iou_0p85	766.667	897.798	3/3
sun_moon	basic	3	iou_0p90	-	-	0/3
sun_moon	basic	3	rel_90pct	216.667	289.19	3/3
sun_moon	basic	3	rel_95pct	383.333	478.495	3/3
sun_moon	basic	3	rel_99pct	866.667	997.821	3/3
sun_moon	srd	3	iou_0p50	58.3333	229.33	3/3
sun_moon	srd	3	iou_0p60	83.3333	342.733	3/3
sun_moon	srd	3	iou_0p70	125	602.929	3/3
sun_moon	srd	3	iou_0p75	150	706.966	3/3
sun_moon	srd	3	iou_0p80	183.333	924.221	3/3
sun_moon	srd	3	iou_0p85	233.333	1260.81	3/3
sun_moon	srd	3	iou_0p90	333.333	1941.77	3/3
sun_moon	srd	3	rel_90pct	241.667	1352.57	3/3
sun_moon	srd	3	rel_95pct	383.333	2413.03	3/3
sun_moon	srd	3	rel_99pct	825	5442.64	3/3
sun_moon	srd_no_swept	3	iou_0p50	66.6667	216.241	3/3
sun_moon	srd_no_swept	3	iou_0p60	91.6667	345.504	3/3
sun_moon	srd_no_swept	3	iou_0p70	133.333	491.648	3/3
sun_moon	srd_no_swept	3	iou_0p75	175	642.315	3/3
sun_moon	srd_no_swept	3	iou_0p80	233.333	920.959	3/3
sun_moon	srd_no_swept	3	iou_0p85	558.333	2280.96	3/3
sun_moon	srd_no_swept	3	iou_0p90	-	-	0/3
sun_moon	srd_no_swept	3	rel_90pct	208.333	838.559	3/3
sun_moon	srd_no_swept	3	rel_95pct	383.333	1545.1	3/3
sun_moon	srd_no_swept	3	rel_99pct	791.667	3216.31	3/3
water_fire	basic	3	iou_0p50	50	53.688	3/3
water_fire	basic	3	iou_0p60	58.3333	62.311	3/3
water_fire	basic	3	iou_0p70	91.6667	97.291	3/3
water_fire	basic	3	iou_0p75	100	105.864	3/3
water_fire	basic	3	iou_0p80	125	131.712	3/3
water_fire	basic	3	iou_0p85	241.667	250.17	3/3
water_fire	basic	3	iou_0p90	875	881.204	3/3
water_fire	basic	3	rel_90pct	216.667	225.096	3/3
water_fire	basic	3	rel_95pct	508.333	520.008	3/3
water_fire	basic	3	rel_99pct	1225	1239.21	3/3
water_fire	srd	3	iou_0p50	50	191.85	3/3
water_fire	srd	3	iou_0p60	58.3333	201.877	3/3
water_fire	srd	3	iou_0p70	83.3333	282.322	3/3
water_fire	srd	3	iou_0p75	100	355.392	3/3
water_fire	srd	3	iou_0p80	116.667	483.341	3/3
water_fire	srd	3	iou_0p85	158.333	648.594	3/3
water_fire	srd	3	iou_0p90	266.667	1160.85	3/3
water_fire	srd	3	rel_90pct	191.667	811.919	3/3
water_fire	srd	3	rel_95pct	366.667	1684.24	3/3
water_fire	srd	3	rel_99pct	1183.33	5790.32	3/3
water_fire	srd_no_swept	3	iou_0p50	50	196.369	3/3
water_fire	srd_no_swept	3	iou_0p60	58.3333	205.849	3/3
water_fire	srd_no_swept	3	iou_0p70	83.3333	281.961	3/3
water_fire	srd_no_swept	3	iou_0p75	100	351.281	3/3
water_fire	srd_no_swept	3	iou_0p80	133.333	484.343	3/3
water_fire	srd_no_swept	3	iou_0p85	191.667	729.801	3/3
water_fire	srd_no_swept	3	iou_0p90	475	1675.23	3/3
water_fire	srd_no_swept	3	rel_90pct	200	739.903	3/3
water_fire	srd_no_swept	3	rel_95pct	400	1498.08	3/3
water_fire	srd_no_swept	3	rel_99pct	1191.67	4127.98	3/3
