job	pair	group	arm	seed	overlap_mode	overlap_repair	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	final_patches	final_overlap	best_mean_iou	best_mean_iou_step	best_loss	best_loss_step	srd_total_adds	srd_total_deletes	total_seconds	iou_0p50_steps	iou_0p50_seconds	iou_0p60_steps	iou_0p60_seconds	iou_0p70_steps	iou_0p70_seconds	iou_0p75_steps	iou_0p75_seconds	iou_0p80_steps	iou_0p80_seconds	iou_0p85_steps	iou_0p85_seconds	iou_0p90_steps	iou_0p90_seconds	rel_90pct_steps	rel_90pct_seconds	rel_95pct_steps	rel_95pct_seconds	rel_99pct_steps	rel_99pct_seconds
final_horse_circle_srd_no_swept_seed1	horse_circle	srd_no_swept	srd_no_swept	1	planar	True	steps	2000	0.126916	0.935080	0.880430	0.989731	16	0.00001386	0.935985	1925	0.124761	1925	9	13	6668.763	75	223.043	100	391.886	150	593.275	200	792.277	250	984.165	325	1195.370	900	3227.753	300	1171.852	875	3090.596	1025	3568.636
final_horse_circle_srd_no_swept_seed2	horse_circle	srd_no_swept	srd_no_swept	2	planar	True	steps	2000	0.166389	0.902439	0.812984	0.991895	23	0.00019127	0.902782	1850	0.164244	1850	20	17	9446.266	75	217.521	100	404.971	125	438.134	150	635.592	175	668.784	275	1154.707	1025	4960.553	200	867.673	300	1378.644	750	3743.153
final_horse_circle_srd_seed0	horse_circle	srd	srd	0	planar	True	steps	2000	0.343599	0.861973	0.782175	0.941771	38	0.00023680	0.942978	1175	0.118524	1150	36	18	21084.007	75	369.525	100	659.123	150	1013.140	175	1067.133	225	1460.771	325	2368.588	450	3854.618	300	2303.867	450	3854.618	1125	11193.694
final_horse_circle_srd_seed1	horse_circle	srd	srd	1	planar	True	steps	2000	0.156272	0.926076	0.883036	0.969116	24	0.00008539	0.934491	1875	0.136874	1875	22	18	10044.789	75	222.854	100	414.959	125	448.908	150	645.485	200	899.648	275	1221.750	475	2418.681	250	1180.373	375	1835.489	1425	7262.224
final_horse_circle_srd_seed2	horse_circle	srd	srd	2	planar	True	steps	2000	0.092319	0.949479	0.919161	0.979797	29	0.00001236	0.949479	2000	0.092319	2000	24	15	11602.121	75	225.143	100	406.440	125	437.853	150	637.115	175	672.191	275	1210.735	375	1795.999	275	1210.735	400	2070.541	1750	10179.954
final_sun_moon_basic_seed0	sun_moon	basic	basic	0	planar	True	steps	2000	0.203361	0.855785	0.775595	0.935975	20	0.00071426	0.857232	1625	0.200959	1325	-	-	3184.259	75	126.654	100	168.396	175	293.321	250	416.894	375	618.922	625	1018.802	-1	-1	325	538.856	425	699.058	600	978.956
final_sun_moon_basic_seed1	sun_moon	basic	basic	1	planar	True	steps	2000	0.231553	0.833554	0.749452	0.917655	20	0.00010862	0.851961	1125	0.211989	1575	-	-	1945.880	75	73.162	100	97.462	125	122.059	175	171.892	275	269.016	1100	1075.872	-1	-1	175	171.892	300	293.152	1000	978.141
final_sun_moon_basic_seed2	sun_moon	basic	basic	2	planar	True	steps	2000	0.183221	0.875719	0.772042	0.979396	20	0.00001093	0.876125	1975	0.183221	2000	-	-	2069.749	50	52.978	75	78.420	100	104.562	125	130.778	200	208.299	575	598.720	-1	-1	150	156.821	425	443.275	1000	1036.365
final_sun_moon_srd_no_swept_seed0	sun_moon	srd_no_swept	srd_no_swept	0	planar	True	steps	2000	0.181617	0.879266	0.803808	0.954724	21	0.00018113	0.881058	1900	0.175973	1450	18	17	8252.058	75	226.679	100	408.786	175	644.777	225	859.896	275	1091.471	400	1739.896	-1	-1	275	1091.471	375	1549.644	500	2176.885
final_sun_moon_srd_no_swept_seed1	sun_moon	srd_no_swept	srd_no_swept	1	planar	True	steps	2000	0.214224	0.853934	0.771350	0.936517	20	0.00014053	0.862563	1550	0.203081	1725	13	13	7929.177	75	223.193	100	403.078	125	433.506	175	643.671	275	1074.362	700	2877.506	-1	-1	200	827.163	525	2087.362	1050	4285.547
final_sun_moon_srd_no_swept_seed2	sun_moon	srd_no_swept	srd_no_swept	2	planar	True	steps	2000	0.266250	0.832724	0.722073	0.943376	17	0.00050364	0.865722	975	0.203968	950	0	3	7311.200	50	198.852	75	224.647	100	396.660	125	423.378	150	597.044	575	2225.474	-1	-1	150	597.044	250	998.284	825	3186.506
final_sun_moon_srd_seed0	sun_moon	srd	srd	0	planar	True	steps	2000	0.060618	0.960846	0.944422	0.977270	34	0.00013083	0.960938	1950	0.059516	1950	17	3	17097.581	50	268.273	100	578.647	150	931.556	175	984.063	225	1370.953	275	1794.023	325	2266.505	275	1794.023	350	2679.164	650	5471.949
final_sun_moon_srd_seed1	sun_moon	srd	srd	1	planar	True	steps	2000	0.050297	0.965697	0.956010	0.975384	33	0.00004709	0.968900	1900	0.045559	1900	18	5	12355.475	75	224.524	75	224.524	125	455.055	150	679.872	175	718.322	225	1013.027	275	1335.422	250	1288.306	400	2336.541	900	5658.876
final_sun_moon_srd_seed2	sun_moon	srd	srd	2	planar	True	steps	2000	0.088773	0.946413	0.912337	0.980490	26	0.00000460	0.946413	2000	0.088773	2000	13	7	10828.256	50	195.192	75	225.029	100	422.177	125	456.964	150	683.387	200	975.375	400	2223.377	200	975.375	400	2223.377	925	5197.108
final_water_fire_basic_seed0	water_fire	basic	basic	0	planar	True	steps	2000	0.062807	0.940309	0.946521	0.934097	20	0.00012434	0.940309	2000	0.062807	2000	-	-	2022.268	50	53.830	50	53.830	75	79.528	75	79.528	100	105.031	250	258.298	900	908.720	200	207.669	675	686.800	1225	1236.651
final_water_fire_basic_seed1	water_fire	basic	basic	1	planar	True	steps	2000	0.048917	0.950372	0.977167	0.923577	20	0.00030582	0.950718	1500	0.046887	1425	-	-	2114.157	50	53.917	50	53.917	100	107.508	100	107.508	125	133.758	175	186.145	325	341.318	175	186.145	325	341.318	850	897.458
final_water_fire_basic_seed2	water_fire	basic	basic	2	planar	True	steps	2000	0.083323	0.920723	0.939156	0.902291	20	0.00040940	0.929845	1850	0.071309	1825	-	-	1964.939	50	53.317	75	79.186	100	104.837	125	130.557	150	156.348	300	306.068	1400	1393.573	275	281.475	525	531.906	1600	1583.522
final_water_fire_srd_no_swept_seed0	water_fire	srd_no_swept	srd_no_swept	0	planar	True	steps	2000	0.092761	0.908625	0.915002	0.902249	15	0.00008624	0.937902	1500	0.061125	1500	9	14	6804.520	50	192.458	50	192.458	75	222.045	75	222.045	125	438.007	175	639.739	425	1607.935	175	639.739	400	1581.213	1075	3878.944
final_water_fire_srd_no_swept_seed1	water_fire	srd_no_swept	srd_no_swept	1	planar	True	steps	2000	0.033645	0.966405	0.980500	0.952310	18	0.00001694	0.970507	1975	0.030170	1975	16	18	7526.378	50	199.656	50	199.656	75	230.921	100	409.147	125	440.143	200	824.653	300	1232.144	225	854.959	475	1867.448	1225	4660.069
final_water_fire_srd_no_swept_seed2	water_fire	srd_no_swept	srd_no_swept	2	planar	True	steps	2000	0.075533	0.931564	0.964621	0.898507	15	0.00012038	0.931564	2000	0.075533	2000	7	12	5967.408	50	196.993	75	225.434	100	392.917	125	422.650	150	574.878	200	725.011	700	2185.607	200	725.011	325	1045.577	1275	3844.942
final_water_fire_srd_seed0	water_fire	srd	srd	0	planar	True	steps	2000	0.039754	0.961386	0.960826	0.961945	22	0.00000683	0.961386	2000	0.039754	2000	13	11	8899.076	50	192.625	50	192.625	75	222.265	75	222.265	100	400.334	150	630.048	250	1141.414	175	664.909	350	1677.449	1200	5664.623
final_water_fire_srd_seed1	water_fire	srd	srd	1	planar	True	steps	2000	0.026716	0.971310	0.978713	0.963907	24	0.00080670	0.973181	1850	0.024966	1850	16	12	9119.621	50	186.696	50	186.696	75	215.757	100	402.459	100	402.459	150	633.017	275	1157.840	200	873.194	425	1947.449	950	4549.231
final_water_fire_srd_seed2	water_fire	srd	srd	2	planar	True	steps	2000	0.068152	0.933758	0.951049	0.916468	26	0.00010920	0.959807	1750	0.041116	1750	24	18	9991.765	50	196.230	75	226.310	100	408.945	125	441.452	150	647.229	175	682.717	275	1183.305	200	897.653	325	1427.835	1400	7157.110
