job_id	job_name	pair	arm	overlap_mode	seed	output_dir
4130008	final_horse_circle_basic_seed2	horse_circle	basic	planar	2	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_horse_circle_basic_seed2
4130009	final_horse_circle_srd_seed0	horse_circle	srd	planar	0	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_horse_circle_srd_seed0
4130010	final_horse_circle_srd_seed1	horse_circle	srd	planar	1	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_horse_circle_srd_seed1
4130011	final_horse_circle_srd_seed2	horse_circle	srd	planar	2	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_horse_circle_srd_seed2
4130012	final_horse_circle_srd_no_swept_seed0	horse_circle	srd_no_swept	planar	0	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_horse_circle_srd_no_swept_seed0
4130013	final_horse_circle_srd_no_swept_seed1	horse_circle	srd_no_swept	planar	1	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_horse_circle_srd_no_swept_seed1
4130014	final_horse_circle_srd_no_swept_seed2	horse_circle	srd_no_swept	planar	2	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_horse_circle_srd_no_swept_seed2
4130015	final_cat_face_bass_basic_seed0	cat_face_bass	basic	planar	0	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_cat_face_bass_basic_seed0
4130016	final_cat_face_bass_basic_seed1	cat_face_bass	basic	planar	1	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_cat_face_bass_basic_seed1
4130017	final_cat_face_bass_basic_seed2	cat_face_bass	basic	planar	2	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_cat_face_bass_basic_seed2
4130018	final_cat_face_bass_srd_seed0	cat_face_bass	srd	planar	0	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_cat_face_bass_srd_seed0
4130019	final_cat_face_bass_srd_seed1	cat_face_bass	srd	planar	1	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_cat_face_bass_srd_seed1
4130020	final_cat_face_bass_srd_seed2	cat_face_bass	srd	planar	2	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_cat_face_bass_srd_seed2
4130021	final_cat_face_bass_srd_no_swept_seed0	cat_face_bass	srd_no_swept	planar	0	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_cat_face_bass_srd_no_swept_seed0
4130022	final_cat_face_bass_srd_no_swept_seed1	cat_face_bass	srd_no_swept	planar	1	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_cat_face_bass_srd_no_swept_seed1
4130023	final_cat_face_bass_srd_no_swept_seed2	cat_face_bass	srd_no_swept	planar	2	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_cat_face_bass_srd_no_swept_seed2
4130024	final_water_fire_basic_seed0	water_fire	basic	planar	0	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_water_fire_basic_seed0
4130025	final_water_fire_basic_seed1	water_fire	basic	planar	1	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_water_fire_basic_seed1
4130026	final_water_fire_basic_seed2	water_fire	basic	planar	2	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_water_fire_basic_seed2
4130027	final_water_fire_srd_seed0	water_fire	srd	planar	0	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_water_fire_srd_seed0
4130028	final_water_fire_srd_seed1	water_fire	srd	planar	1	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_water_fire_srd_seed1
4130029	final_water_fire_srd_seed2	water_fire	srd	planar	2	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_water_fire_srd_seed2
4130030	final_water_fire_srd_no_swept_seed0	water_fire	srd_no_swept	planar	0	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_water_fire_srd_no_swept_seed0
4130031	final_water_fire_srd_no_swept_seed1	water_fire	srd_no_swept	planar	1	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_water_fire_srd_no_swept_seed1
4130032	final_water_fire_srd_no_swept_seed2	water_fire	srd_no_swept	planar	2	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_water_fire_srd_no_swept_seed2
4130033	final_acm_scf_basic_seed0	acm_scf	basic	planar	0	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_acm_scf_basic_seed0
4130034	final_acm_scf_basic_seed1	acm_scf	basic	planar	1	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_acm_scf_basic_seed1
4130035	final_acm_scf_basic_seed2	acm_scf	basic	planar	2	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_acm_scf_basic_seed2
4130036	final_acm_scf_srd_seed0	acm_scf	srd	planar	0	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_acm_scf_srd_seed0
4130037	final_acm_scf_srd_seed1	acm_scf	srd	planar	1	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_acm_scf_srd_seed1
4130038	final_acm_scf_srd_seed2	acm_scf	srd	planar	2	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_acm_scf_srd_seed2
4130039	final_acm_scf_srd_no_swept_seed0	acm_scf	srd_no_swept	planar	0	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_acm_scf_srd_no_swept_seed0
4130040	final_acm_scf_srd_no_swept_seed1	acm_scf	srd_no_swept	planar	1	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_acm_scf_srd_no_swept_seed1
4130041	final_acm_scf_srd_no_swept_seed2	acm_scf	srd_no_swept	planar	2	/oscar/home/cjmok/automated-perspective-sculptor/results/final/main_20260721/final_acm_scf_srd_no_swept_seed2
