job	pair	arm	kept_patches	kept_mean_iou	lambda_count	count_objective	count_lambda	count_softplus_beta	n_patches	seed	overlap_mode	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	best_mean_iou	best_mean_iou_step	final_mean_spill	final_mean_precision	final_mean_coverage	final_patches	start_patches	max_patches	min_patches	mean_patches	final_overlap	srd_total_adds	srd_total_splits	srd_total_deletes	iou_0p80_steps	iou_0p85_steps	iou_0p90_steps	total_seconds	pruned_patches	pruned_mean_iou	pruned_loss	pruned_mean_coverage	pruned_mean_precision	pruned_mean_spill	pruned_threshold	pruned_target_reached	count_target_reached	count_final_deficit	count_final_objective	patches_at_threshold	patches_shed_after_threshold
pc_siggraph_sigchi_prune	siggraph_sigchi	prune	14	0.599371	0.0001	False	2000	0	5	0	planar	converged	1125	0.310686	0.600085	0.829980	0.370190	0.604361	825	0.168651	0.790197	0.668152	21	5	22	5	17.696	0.00015508	22	3	29	-1	-1	-1	3678.445	14	0.599371	0.284003	0.644037	0.835746	0.112317	0.595325	True	-	-	-	-	-
pc_siggraph_sigchi_hinge	siggraph_sigchi	hinge	17	0.792529	0	True	2000	200	5	0	planar	converged	3000	0.152285	0.792529	0.857417	0.727640	0.828368	2700	0.056479	0.936972	0.834562	17	5	22	5	17.562	0.00004554	31	0	19	2600	-1	-1	10568.468	-	-	-	-	-	-	-	-	False	0.107471	40.100194	-1	-1
pc_crane_crab_nopen	crane_crab	nopen	17	0.805915	0	False	2000	0	5	0	planar	converged	3750	0.171266	0.805915	0.789505	0.822325	0.809279	3500	0.082527	0.914270	0.872003	17	5	23	5	18.179	0.00005369	34	2	24	2700	-1	-1	13047.605	-	-	-	-	-	-	-	-	-	-	-	-	-
pc_crane_crab_penalty	crane_crab	penalty	10	0.695079	0.01	False	2000	0	5	0	planar	converged	1700	0.242281	0.695079	0.655474	0.734683	0.703909	1375	0.077244	0.907198	0.747364	10	5	12	5	9.826	0.00006459	8	3	6	-1	-1	-1	3274.587	-	-	-	-	-	-	-	-	-	-	-	-	-
pc_crane_crab_prune	crane_crab	prune	17	0.789076	0.0001	False	2000	0	5	0	planar	converged	2125	0.172716	0.796386	0.753731	0.839040	0.798000	2050	0.108541	0.894615	0.879973	28	5	29	5	23.116	0.00002576	34	2	40	-1	-1	-1	8932.220	17	0.789076	0.174427	0.852873	0.915815	0.082203	0.787010	True	-	-	-	-	-
pc_crane_crab_hinge	crane_crab	hinge	12	0.762917	0	True	2000	200	5	0	planar	converged	2650	0.215447	0.762917	0.776869	0.748965	0.768885	2350	0.081594	0.912143	0.825597	12	5	15	5	12.037	0.00005641	17	1	11	-1	-1	-1	6507.350	-	-	-	-	-	-	-	-	False	0.137083	49.583391	-1	-1
pc_teapot_droplets_nopen	teapot_droplets	nopen	27	0.764422	0	False	2000	0	5	0	planar	converged	1625	0.183539	0.764422	0.867025	0.661820	0.788194	1325	0.175697	0.852517	0.882678	27	5	27	5	20.424	0.00000657	33	3	14	-1	-1	-1	6297.500	-	-	-	-	-	-	-	-	-	-	-	-	-
pc_teapot_droplets_penalty	teapot_droplets	penalty	6	0.476358	0.01	False	2000	0	5	0	planar	converged	2700	0.436270	0.476358	0.467486	0.485230	0.476358	2700	0.118057	0.852072	0.533556	6	5	7	5	5.982	0.00002478	3	2	4	-1	-1	-1	2912.363	-	-	-	-	-	-	-	-	-	-	-	-	-
pc_teapot_droplets_prune	teapot_droplets	prune	23	0.820791	0.0001	False	2000	0	5	0	planar	converged	2050	0.130901	0.820791	0.873730	0.767852	0.831391	1750	0.092734	0.914137	0.892264	23	5	25	5	21.578	0.00000000	25	3	32	800	-1	-1	8850.496	23	0.820791	0.130901	0.892264	0.914137	0.092734	0.810791	True	-	-	-	-	-
pc_teapot_droplets_hinge	teapot_droplets	hinge	16	0.762657	0	True	2000	200	5	0	planar	converged	1000	0.188006	0.762657	0.847486	0.677829	0.766378	675	0.171567	0.857886	0.880218	16	5	17	5	14.049	0.00000294	18	1	8	-1	-1	-1	2675.507	-	-	-	-	-	-	-	-	False	0.137343	53.726053	-1	-1
pc_dancer_guitar_nopen	dancer_guitar	nopen	23	0.902848	0	False	2000	0	5	0	planar	converged	1275	0.071411	0.902848	0.918395	0.887302	0.926726	1025	0.034425	0.965072	0.934157	23	5	24	5	19.538	0.00067830	26	3	11	400	500	700	6573.849	-	-	-	-	-	-	-	-	-	-	-	-	-
pc_dancer_guitar_penalty	dancer_guitar	penalty	6	0.680246	0.01	False	2000	0	5	0	planar	converged	2000	0.216760	0.680246	0.684910	0.675582	0.682771	1600	0.035461	0.952065	0.704367	6	5	7	5	6.025	0.00005488	3	2	4	-1	-1	-1	2414.651	-	-	-	-	-	-	-	-	-	-	-	-	-
pc_dancer_guitar_prune	dancer_guitar	prune	16	0.880288	0.0001	False	2000	0	5	0	planar	converged	2000	0.088673	0.889130	0.923669	0.854592	0.891341	1700	0.049204	0.949684	0.932591	20	5	22	5	18.025	0.00011811	26	3	33	450	675	-1	6900.406	16	0.880288	0.093810	0.925042	0.947422	0.051142	0.879130	True	-	-	-	-	-
pc_dancer_guitar_hinge	dancer_guitar	hinge	15	0.864394	0	True	2000	200	5	0	planar	converged	1575	0.100628	0.864394	0.892871	0.835916	0.866652	1275	0.043550	0.953870	0.902008	15	5	17	5	15.062	0.00007559	16	0	6	525	1075	-1	4748.019	-	-	-	-	-	-	-	-	False	0.035606	17.535632	-1	-1
pc_dance_argument_nopen	dance_argument	nopen	28	0.919949	0	False	2000	0	5	0	planar	converged	2150	0.106865	0.919949	0.912603	0.927294	0.922962	1600	0.045579	0.955033	0.961771	28	5	35	5	25.379	0.00000000	42	3	22	550	650	1050	10694.622	-	-	-	-	-	-	-	-	-	-	-	-	-
pc_dance_argument_penalty	dance_argument	penalty	16	0.806093	0.01	False	2000	0	5	0	planar	converged	1375	0.243997	0.806093	0.735578	0.876608	0.824347	1075	0.098484	0.901852	0.880964	16	5	16	5	13.107	0.00031617	13	1	3	700	-1	-1	3712.369	-	-	-	-	-	-	-	-	-	-	-	-	-
pc_dance_argument_prune	dance_argument	prune	20	0.888462	0.0001	False	2000	0	5	0	planar	converged	2400	0.169944	0.868652	0.836427	0.900878	0.899547	2100	0.084453	0.920736	0.940252	26	5	27	5	22.124	0.00035252	29	1	34	650	825	-1	9660.062	20	0.888462	0.138765	0.926850	0.955716	0.043383	0.884076	True	-	-	-	-	-
pc_dance_argument_hinge	dance_argument	hinge	18	0.829847	0	True	2000	200	5	0	planar	converged	1625	0.194984	0.829847	0.768998	0.890696	0.830376	1225	0.059749	0.936126	0.877387	18	5	18	5	16.455	0.00112409	16	0	3	675	-1	-1	4966.477	-	-	-	-	-	-	-	-	False	0.070153	27.842770	-1	-1
