job	pair	arm	count_target_iou	count_lambda	count_power	count_margin_reward	count_hard_floor	count_start_mode	delete_eval_steps	shed_patience_evals	seed	stop_reason	final_step	count_target_reached	count_final_deficit	final_mean_iou	best_mean_iou	final_patches	shed_entered_step	shed_entry_patches	shed_entry_mean_iou	shed_evals	min_iou_after_target	patches_at_threshold	patches_shed_after_threshold	start_patches	max_patches	min_patches	final_mean_spill	final_mean_precision	final_mean_coverage	final_overlap	srd_total_adds	srd_total_splits	srd_total_deletes	total_seconds
h2_dance_argument_l2000	dance_argument	l2000	0.91	2000	1	5	True	on_target	15	8	0	converged	1450	False	0.067320	0.842680	0.842891	20	-1	-1	-1	0	-1	-1	-1	20	20	20	0.075664	0.922265	0.903440	0.00036001	0	0	0	5495.961
h2_dance_argument_l500	dance_argument	l500	0.91	500	1	5	True	on_target	15	8	0	converged	1100	False	0.092163	0.817837	0.830252	20	-1	-1	-1	0	-1	-1	-1	20	20	20	0.071556	0.923990	0.873740	0.00020096	0	0	0	3968.566
h2_horse_circle_l200	horse_circle	l200	0.91	200	1	5	True	on_target	15	8	0	converged	1550	False	0.031980	0.878020	0.881328	18	-1	-1	-1	0	-1	-1	-1	20	20	18	0.106948	0.903338	0.964464	0.00000000	0	0	2	5403.084
h2_horse_circle_l2000	horse_circle	l2000	0.91	2000	1	5	True	on_target	15	8	0	converged	1400	False	0.037609	0.872391	0.872415	18	-1	-1	-1	0	-1	-1	-1	20	20	18	0.107923	0.902652	0.956861	0.00000000	0	0	2	4898.528
h2_horse_circle_l500	horse_circle	l500	0.91	500	1	5	True	on_target	15	8	0	converged	1075	False	0.063888	0.846112	0.857873	16	-1	-1	-1	0	-1	-1	-1	20	20	16	0.132639	0.879910	0.950091	0.00000372	0	0	4	3562.537
h2_acm_scf_l200	acm_scf	l200	0.91	200	1	5	True	on_target	15	8	0	converged	1675	False	0.198599	0.711401	0.736493	19	-1	-1	-1	0	-1	-1	-1	20	20	19	0.128043	0.881671	0.810245	0.00000000	0	0	1	6234.307
h2_acm_scf_l2000	acm_scf	l2000	0.91	2000	1	5	True	on_target	15	8	0	steps	3000	False	0.098380	0.811620	0.813812	16	-1	-1	-1	0	-1	-1	-1	20	20	16	0.121089	0.888890	0.909802	0.00031590	0	0	4	16944.074
h2_acm_scf_l500	acm_scf	l500	0.91	500	1	5	True	on_target	15	8	0	converged	1025	False	0.232537	0.677463	0.700191	20	-1	-1	-1	0	-1	-1	-1	20	20	20	0.101832	0.895256	0.755675	0.00000190	0	0	0	3875.256
h2_teapot_droplets_l200	teapot_droplets	l200	0.91	200	1	5	True	on_target	15	8	0	converged	1525	False	0.153100	0.756900	0.757753	20	-1	-1	-1	0	-1	-1	-1	20	20	20	0.171039	0.857703	0.874007	0.00002935	0	0	0	5800.900
h2_teapot_droplets_l2000	teapot_droplets	l2000	0.91	2000	1	5	True	on_target	15	8	0	converged	1350	False	0.205615	0.704385	0.737499	20	-1	-1	-1	0	-1	-1	-1	20	20	20	0.226900	0.823858	0.843364	0.00027209	0	0	0	4848.646
h2_teapot_droplets_l500	teapot_droplets	l500	0.91	500	1	5	True	on_target	15	8	0	converged	1275	False	0.195709	0.714291	0.733816	19	-1	-1	-1	0	-1	-1	-1	20	20	19	0.195399	0.835165	0.837619	0.00024938	0	0	1	4808.227
