pair,arm,patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
acm_scf,prune,25,24,0.189101,0.872621,0.917186,0.828056,0.958729,0.909990,0.102918
acm_scf,prune,24,1,0.199770,0.865660,0.912801,0.818519,0.953148,0.907241,0.105669
acm_scf,prune,23,21,0.204060,0.865772,0.912408,0.819136,0.950003,0.909816,0.101647
acm_scf,prune,22,7,0.219466,0.854748,0.894340,0.815156,0.939796,0.908438,0.103379
acm_scf,prune,21,13,0.229538,0.850358,0.880693,0.820022,0.931420,0.912084,0.098156
acm_scf,prune,20,13,0.233794,0.849389,0.886261,0.812517,0.929374,0.911930,0.097592
acm_scf,prune,19,14,0.246944,0.843106,0.867320,0.818892,0.920837,0.914292,0.094372
acm_scf,prune,18,18,0.269572,0.829966,0.854869,0.805064,0.911583,0.908389,0.100718
acm_scf,prune,17,15,0.292746,0.820230,0.839173,0.801287,0.895155,0.913408,0.093066
acm_scf,prune,16,5,0.323916,0.802291,0.817593,0.786988,0.876313,0.912226,0.093755
acm_scf,prune,15,12,0.359728,0.781586,0.780514,0.782657,0.859613,0.907161,0.099718
acm_scf,prune,14,9,0.392129,0.764081,0.733416,0.794746,0.833923,0.915603,0.088451
acm_scf,prune,13,13,0.429727,0.742941,0.688123,0.797758,0.813800,0.914287,0.089838
acm_scf,prune,12,6,0.479972,0.714853,0.634217,0.795490,0.785176,0.913513,0.089832
acm_scf,prune,11,2,0.531446,0.689313,0.614212,0.764415,0.752605,0.915111,0.084061
acm_scf,prune,10,10,0.586570,0.657928,0.552357,0.763498,0.723321,0.910868,0.087591
acm_scf,prune,9,7,0.644152,0.631799,0.553611,0.709987,0.690711,0.908840,0.084417
acm_scf,prune,8,2,0.705306,0.603394,0.554220,0.652569,0.656327,0.904436,0.082167
acm_scf,prune,7,7,0.781164,0.560400,0.474069,0.646731,0.609329,0.908182,0.077017
acm_scf,prune,6,5,0.856861,0.521100,0.428248,0.613952,0.566644,0.902926,0.076048
acm_scf,prune,5,4,0.948061,0.469953,0.310721,0.629186,0.512713,0.907145,0.070428
acm_scf,prune,4,2,1.037161,0.424531,0.303409,0.545653,0.459585,0.900681,0.066457
acm_scf,prune,3,1,1.139747,0.372834,0.261403,0.484266,0.403690,0.886403,0.066607
acm_scf,prune,2,1,1.269377,0.300721,0.171891,0.429551,0.327122,0.876057,0.064144
acm_scf,prune,1,1,1.509724,0.168027,0.102051,0.234003,0.174161,0.878526,0.028649
teapot_droplets,prune,33,-1,0.149416,0.827136,0.928922,0.725350,0.970011,0.852250,0.192912
teapot_droplets,prune,32,6,0.150537,0.826628,0.926081,0.727176,0.969293,0.852035,0.191801
teapot_droplets,prune,31,3,0.146336,0.830715,0.930159,0.731272,0.969831,0.856057,0.186490
teapot_droplets,prune,30,11,0.151545,0.827730,0.929203,0.726257,0.965395,0.856470,0.186188
teapot_droplets,prune,29,13,0.146067,0.831332,0.930487,0.732176,0.969968,0.856476,0.185571
teapot_droplets,prune,28,18,0.146954,0.830959,0.930974,0.730944,0.967722,0.857683,0.183548
teapot_droplets,prune,27,3,0.150655,0.829111,0.928016,0.730205,0.968746,0.855127,0.187279
teapot_droplets,prune,26,15,0.151850,0.828658,0.923660,0.733655,0.965304,0.858001,0.182766
teapot_droplets,prune,25,23,0.152701,0.830152,0.922966,0.737338,0.964283,0.860499,0.178653
teapot_droplets,prune,24,2,0.162466,0.822372,0.915266,0.729478,0.960863,0.855782,0.186406
teapot_droplets,prune,23,2,0.164997,0.820884,0.916044,0.725725,0.959986,0.854418,0.188030
teapot_droplets,prune,22,22,0.174943,0.815234,0.909649,0.720819,0.953938,0.853204,0.188704
teapot_droplets,prune,21,9,0.185399,0.809391,0.897047,0.721735,0.946825,0.854376,0.187240
teapot_droplets,prune,20,1,0.191238,0.807442,0.890331,0.724552,0.944699,0.854160,0.186055
teapot_droplets,prune,19,14,0.195266,0.803268,0.889685,0.716852,0.944163,0.850565,0.193135
teapot_droplets,prune,18,3,0.214761,0.794863,0.867089,0.722637,0.932385,0.852632,0.187224
teapot_droplets,prune,17,17,0.233134,0.782596,0.849209,0.715984,0.923663,0.848568,0.194166
teapot_droplets,prune,16,0,0.261337,0.771620,0.849949,0.693291,0.903022,0.850030,0.186597
teapot_droplets,prune,15,14,0.288958,0.757759,0.817764,0.697755,0.889229,0.849235,0.185875
teapot_droplets,prune,14,1,0.297762,0.753000,0.822393,0.683608,0.883907,0.846309,0.188534
teapot_droplets,prune,13,11,0.318033,0.741647,0.814951,0.668342,0.871902,0.843012,0.191870
teapot_droplets,prune,12,9,0.357906,0.727175,0.788043,0.666306,0.846599,0.849209,0.176839
teapot_droplets,prune,11,8,0.399928,0.710160,0.803013,0.617307,0.824182,0.839872,0.180688
teapot_droplets,prune,10,2,0.455012,0.683774,0.734911,0.632636,0.789657,0.848269,0.165191
teapot_droplets,prune,9,2,0.520070,0.655239,0.748098,0.562381,0.752267,0.836068,0.168656
teapot_droplets,prune,8,7,0.590128,0.618654,0.694793,0.542516,0.713398,0.830072,0.171463
teapot_droplets,prune,7,3,0.668274,0.584069,0.651812,0.516325,0.668648,0.828660,0.160552
teapot_droplets,prune,6,3,0.743009,0.551209,0.656215,0.446204,0.628883,0.808806,0.168529
teapot_droplets,prune,5,5,0.846992,0.499499,0.605050,0.393948,0.571643,0.787905,0.176365
teapot_droplets,prune,4,3,0.946032,0.452347,0.563913,0.340781,0.515795,0.768618,0.178297
teapot_droplets,prune,3,3,1.055768,0.401423,0.520555,0.282291,0.450318,0.752910,0.163127
teapot_droplets,prune,2,0,1.223214,0.314000,0.370443,0.257557,0.341528,0.786604,0.102728
teapot_droplets,prune,1,0,1.436708,0.196802,0.204493,0.189111,0.208714,0.798306,0.062512
