step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count
1250,5603.796,0.164891,0.815183,0.853436,0.776930,23,0.00014006,1,0.114476,0.028287,0.200666,0.895871,0.968774,0.822968,0.905205,0.877577,0.932834,0.005767,0.015470,0.025996,0.018317,0.000000
1275,5633.566,0.164907,0.814251,0.853593,0.774908,23,0.00011697,1,0.115635,0.027829,0.203442,0.895085,0.969256,0.820914,0.904952,0.877348,0.932556,0.005559,0.015630,0.025893,0.018454,0.000000
1300,5827.098,0.167083,0.812079,0.857095,0.767064,23,0.00009033,1,0.120772,0.029776,0.211768,0.890905,0.967365,0.814446,0.906059,0.882616,0.929503,0.005863,0.016385,0.025245,0.019305,0.000000
1325,5856.851,0.161433,0.819286,0.856873,0.781700,23,0.00008564,1,0.112445,0.029776,0.195115,0.897294,0.967357,0.827230,0.908304,0.882387,0.934221,0.005844,0.015172,0.025300,0.017983,0.000000
1350,6047.872,0.165174,0.813678,0.854566,0.772790,23,0.00009813,2,0.117032,0.028401,0.205662,0.893937,0.968695,0.819180,0.905280,0.878836,0.931724,0.005687,0.015836,0.025719,0.018555,0.000000
1375,6076.350,0.163006,0.817385,0.855810,0.778960,23,0.00013691,1,0.115655,0.030921,0.200389,0.894827,0.966140,0.823515,0.908663,0.882272,0.935054,0.006071,0.015492,0.025417,0.018105,0.000000
1400,6269.685,0.158208,0.823106,0.856443,0.789769,23,0.00008876,1,0.108232,0.028287,0.188177,0.900922,0.968880,0.832964,0.909527,0.880669,0.938385,0.005748,0.014553,0.025486,0.017078,0.000000
1425,6299.197,0.157218,0.823885,0.856190,0.791579,23,0.00014504,1,0.108487,0.030463,0.186511,0.900472,0.966625,0.834320,0.910745,0.882272,0.939217,0.006053,0.014234,0.025497,0.016732,0.000000
1450,6490.509,0.156346,0.824783,0.852587,0.796978,23,0.00017450,1,0.101357,0.027027,0.175687,0.906082,0.970058,0.842105,0.906313,0.875630,0.936997,0.005515,0.013620,0.026204,0.016303,0.000000
1475,6519.820,0.158123,0.823122,0.846719,0.799526,23,0.00027500,1,0.098958,0.028058,0.169858,0.907541,0.968774,0.846308,0.902904,0.870476,0.935332,0.005571,0.013248,0.027129,0.016106,0.000000
1500,6711.158,0.155199,0.824738,0.850140,0.799337,23,0.00029063,2,0.098531,0.025538,0.171524,0.908366,0.971542,0.845190,0.904146,0.871851,0.936442,0.004973,0.013275,0.026463,0.016078,0.000000
1525,6740.967,0.154241,0.824887,0.850106,0.799668,23,0.00029418,2,0.096161,0.023019,0.169303,0.910455,0.974214,0.846695,0.902364,0.869675,0.935054,0.004545,0.013232,0.026379,0.016078,0.000000
1550,6932.717,0.154221,0.825893,0.853631,0.798154,23,0.00082498,2,0.098939,0.024966,0.172911,0.908176,0.972258,0.844094,0.905554,0.874943,0.936164,0.005008,0.013392,0.025824,0.016191,0.000000
1575,6962.757,0.156996,0.822492,0.857382,0.787602,23,0.00070175,2,0.105967,0.025424,0.186511,0.902759,0.971895,0.833622,0.906840,0.879180,0.934499,0.005081,0.014324,0.025275,0.017191,0.000000
1600,7156.822,0.157753,0.824443,0.855646,0.793241,23,0.00139209,2,0.104998,0.027371,0.182626,0.903426,0.969804,0.837048,0.908586,0.879066,0.938107,0.005334,0.014318,0.025428,0.017006,0.000000
1625,7186.662,0.163093,0.814266,0.856952,0.771581,23,0.00035967,2,0.114813,0.030348,0.199278,0.894787,0.966771,0.822804,0.904150,0.882959,0.925340,0.006002,0.015021,0.025281,0.018489,0.000000
1650,7376.495,0.159784,0.815016,0.862704,0.767329,23,0.00022544,2,0.114010,0.026798,0.201221,0.895723,0.970636,0.820811,0.903777,0.885822,0.921732,0.005376,0.015083,0.024219,0.018760,0.000000
1675,7406.117,0.150674,0.825340,0.870198,0.780482,23,0.00018001,2,0.104258,0.022561,0.185956,0.903991,0.975273,0.832709,0.907724,0.889831,0.925618,0.004480,0.014501,0.022697,0.017995,0.000000
1700,7600.228,0.145496,0.829917,0.881204,0.778631,23,0.00015878,2,0.106133,0.019927,0.192340,0.903345,0.978310,0.828380,0.913578,0.898763,0.928393,0.003927,0.014974,0.020851,0.018160,0.000000
1725,7629.961,0.147532,0.828965,0.875056,0.782873,23,0.00014130,1,0.104569,0.022904,0.186234,0.904005,0.975050,0.832960,0.911885,0.895098,0.928671,0.004453,0.014541,0.021866,0.017781,0.000000
1750,7821.887,0.148930,0.824605,0.877901,0.771310,23,0.00018667,1,0.111457,0.021415,0.201499,0.899038,0.976675,0.821402,0.911715,0.896702,0.926728,0.004247,0.015102,0.021406,0.018519,0.000000
1775,7851.628,0.148900,0.825673,0.876975,0.774372,23,0.00028272,1,0.113188,0.022103,0.204274,0.898124,0.975935,0.820312,0.914457,0.896358,0.932556,0.004525,0.015196,0.021657,0.018049,0.000000
1800,8044.310,0.148626,0.824768,0.876527,0.773010,23,0.00028513,1,0.112633,0.022103,0.203164,0.898322,0.975923,0.820720,0.912979,0.895900,0.930058,0.004289,0.015192,0.021446,0.018289,0.000000
1825,8073.866,0.148456,0.826772,0.878218,0.775325,23,0.00032536,1,0.108847,0.023133,0.194560,0.900650,0.974901,0.826399,0.912353,0.898534,0.926173,0.004443,0.015063,0.021254,0.018402,0.000000
1850,8264.110,0.148390,0.827890,0.877615,0.778165,23,0.00033530,1,0.109272,0.023706,0.194838,0.900522,0.974292,0.826752,0.914100,0.898420,0.929781,0.004511,0.015178,0.021305,0.018235,0.000000
1875,8293.719,0.150403,0.824740,0.875533,0.773947,23,0.00040710,1,0.110428,0.021301,0.199556,0.899907,0.976733,0.823081,0.911288,0.894182,0.928393,0.004255,0.015250,0.021903,0.018384,0.000000
1900,8484.759,0.148940,0.827297,0.873148,0.781446,23,0.00044501,1,0.106942,0.020156,0.193727,0.902955,0.977873,0.828036,0.911790,0.890747,0.932834,0.003760,0.015163,0.022091,0.017991,0.000000
1925,8513.905,0.150466,0.822837,0.874088,0.771586,23,0.00052512,1,0.112942,0.020499,0.205384,0.898325,0.977535,0.819115,0.911032,0.892006,0.930058,0.003820,0.015407,0.022026,0.018393,0.000000
1950,8702.361,0.149146,0.827660,0.869521,0.785798,23,0.00055047,1,0.104911,0.021645,0.188177,0.904238,0.976214,0.832261,0.911004,0.888342,0.933666,0.003892,0.014753,0.022620,0.017644,0.000000
1975,8731.571,0.146049,0.830869,0.871893,0.789845,23,0.00044752,1,0.099446,0.018209,0.180683,0.908799,0.979901,0.837696,0.910163,0.887769,0.932556,0.003675,0.014146,0.022519,0.017149,0.000000
2000,8922.570,0.143045,0.829196,0.872711,0.785681,23,0.00043479,1,0.098908,0.019354,0.178462,0.908554,0.978707,0.838402,0.907748,0.889601,0.925895,0.003764,0.013303,0.022224,0.016822,0.000000
2025,8951.655,0.146034,0.827607,0.872813,0.782402,23,0.00041505,1,0.094077,0.021072,0.167083,0.911113,0.976902,0.845324,0.902166,0.891205,0.913128,0.004185,0.013101,0.022399,0.017538,0.000000
2050,9143.815,0.152226,0.820949,0.870834,0.771064,23,0.00051926,1,0.100007,0.024049,0.175964,0.905609,0.973740,0.837478,0.899261,0.891777,0.906744,0.004860,0.013711,0.022692,0.018643,0.000000
2075,9173.137,0.152169,0.820513,0.869163,0.771863,23,0.00048607,1,0.097758,0.027600,0.167916,0.906502,0.970025,0.842979,0.897311,0.893152,0.901471,0.005464,0.013102,0.022930,0.018397,0.000000
2100,9361.730,0.152056,0.823744,0.866941,0.780546,23,0.00061805,2,0.094356,0.030234,0.158479,0.909066,0.967258,0.850875,0.898699,0.893152,0.904246,0.006008,0.012544,0.023499,0.017766,0.000000
2125,9390.769,0.152904,0.827217,0.856970,0.797465,23,0.00070563,2,0.088626,0.038479,0.138773,0.912999,0.958554,0.867444,0.899039,0.889945,0.908132,0.007885,0.010803,0.025614,0.015846,0.000000
2150,9581.394,0.158336,0.814856,0.856433,0.773279,23,0.00035553,2,0.101204,0.036990,0.165418,0.902464,0.960015,0.844913,0.894653,0.888113,0.901193,0.007365,0.012148,0.025437,0.017502,0.000000
2175,9610.513,0.159440,0.815826,0.859449,0.772204,23,0.00023217,1,0.095937,0.035616,0.156259,0.906291,0.961524,0.851058,0.891463,0.890060,0.892867,0.007368,0.012278,0.025107,0.018162,0.000000
2200,9801.352,0.159333,0.811921,0.864279,0.759563,23,0.00041777,1,0.102191,0.036189,0.168193,0.900906,0.961160,0.840652,0.891436,0.895557,0.887316,0.007064,0.012907,0.023885,0.019143,0.000000
2225,9830.452,0.157536,0.814837,0.866195,0.763480,23,0.00029024,0,0.096909,0.035616,0.158201,0.905028,0.961812,0.848243,0.890654,0.897045,0.884263,0.007223,0.012288,0.023861,0.018828,0.000000
2250,10022.634,0.159811,0.813858,0.862225,0.765491,23,0.00039341,2,0.100559,0.036532,0.164585,0.902441,0.960729,0.844152,0.892602,0.893724,0.891479,0.007306,0.012794,0.024318,0.018810,0.000000
2275,10052.377,0.152566,0.820190,0.861772,0.778609,23,0.00044654,1,0.092607,0.035616,0.149598,0.909213,0.961624,0.856801,0.893776,0.892464,0.895087,0.006709,0.011529,0.024186,0.017446,0.000000
2300,10241.971,0.149210,0.822986,0.860607,0.785365,23,0.00043166,0,0.084206,0.034356,0.134055,0.916008,0.962839,0.869177,0.890410,0.890174,0.890647,0.006871,0.010188,0.024692,0.016415,0.000000
