step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count
1325,6160.800,0.130289,0.902646,0.857390,0.947902,23,0.00045418,1,0.035761,0.062122,0.009399,0.963206,0.936139,0.990272,0.933732,0.910653,0.956811,0.013692,0.001691,0.027419,0.008214,0.010000
1350,6357.142,0.132304,0.901560,0.854186,0.948935,23,0.00045826,2,0.035356,0.059529,0.011184,0.963382,0.938284,0.988479,0.932291,0.905035,0.959548,0.013300,0.002085,0.028169,0.008133,0.010000
1375,6388.149,0.133449,0.901850,0.853405,0.950294,23,0.00035316,0,0.036875,0.061258,0.012493,0.961915,0.936648,0.987183,0.933924,0.905683,0.962165,0.013673,0.002468,0.028361,0.007969,0.010000
1400,6588.053,0.127811,0.905079,0.852875,0.957283,23,0.00055767,0,0.032555,0.059637,0.005473,0.966221,0.938096,0.994346,0.933130,0.903738,0.962522,0.013363,0.001033,0.028492,0.006784,0.010000
1425,6619.481,0.124367,0.908255,0.855934,0.960576,23,0.00033576,2,0.033804,0.059637,0.007971,0.965069,0.938303,0.991834,0.937606,0.906979,0.968233,0.013195,0.001578,0.027744,0.006247,0.010000
1450,6820.565,0.122845,0.909365,0.857055,0.961675,23,0.00029840,1,0.034280,0.059637,0.008923,0.964633,0.938379,0.990887,0.939212,0.908168,0.970256,0.013220,0.001661,0.027455,0.005983,0.010000
1475,6851.762,0.119503,0.912505,0.860995,0.964016,23,0.00030907,1,0.033124,0.057800,0.008447,0.965855,0.940323,0.991386,0.941460,0.910761,0.972159,0.012983,0.001661,0.026830,0.005610,0.010000
1500,7051.484,0.119318,0.913316,0.859694,0.966938,23,0.00039042,2,0.033194,0.058773,0.007615,0.965796,0.939347,0.992245,0.942261,0.910220,0.974301,0.013203,0.001533,0.027093,0.005221,0.010000
1525,7082.779,0.119531,0.912804,0.860779,0.964829,23,0.00037614,1,0.032513,0.056936,0.008090,0.966427,0.941104,0.991751,0.941212,0.909788,0.972635,0.012899,0.001565,0.026982,0.005542,0.010000
1550,7283.314,0.118336,0.912038,0.863627,0.960449,23,0.00031345,1,0.031092,0.054451,0.007733,0.967827,0.943580,0.992073,0.939264,0.910653,0.967876,0.012250,0.001466,0.026300,0.006215,0.010000
1575,7314.698,0.119234,0.910105,0.863371,0.956840,23,0.00032630,2,0.031093,0.053263,0.008923,0.967755,0.944669,0.990841,0.937367,0.909356,0.965378,0.011839,0.001646,0.026151,0.006775,0.010000
1600,7517.423,0.118825,0.910857,0.864457,0.957256,23,0.00033850,1,0.030277,0.052939,0.007615,0.968602,0.945036,0.992167,0.937383,0.910220,0.964545,0.011862,0.001483,0.026032,0.006825,0.010000
1625,7548.616,0.116665,0.911098,0.866824,0.955372,23,0.00036003,1,0.029148,0.050562,0.007733,0.969715,0.947398,0.992031,0.936706,0.910653,0.962760,0.011167,0.001530,0.025355,0.007101,0.010000
1650,7749.104,0.115977,0.912287,0.867071,0.957502,23,0.00034424,1,0.029369,0.050886,0.007852,0.969518,0.947108,0.991929,0.938107,0.911193,0.965021,0.011296,0.001456,0.025447,0.006756,0.010000
1675,7780.306,0.118301,0.909949,0.869243,0.950655,23,0.00039502,1,0.029423,0.050994,0.007852,0.969502,0.947133,0.991871,0.935845,0.913570,0.958120,0.011278,0.001609,0.024929,0.007969,0.010000
1700,7977.147,0.117895,0.908795,0.871024,0.946566,23,0.00042142,1,0.028007,0.049589,0.006425,0.970925,0.948548,0.993301,0.933433,0.914218,0.952647,0.010988,0.001311,0.024540,0.008511,0.010000
1725,8007.887,0.116990,0.911775,0.872688,0.950862,23,0.00036781,1,0.029342,0.051426,0.007258,0.969704,0.946928,0.992479,0.937665,0.917567,0.957763,0.011517,0.001419,0.024430,0.008013,0.010000
1750,8208.966,0.116716,0.910452,0.876106,0.944798,23,0.00035622,0,0.029299,0.049914,0.008685,0.969749,0.948529,0.990969,0.936420,0.919836,0.953004,0.010946,0.001682,0.023574,0.008934,0.010000
1775,8240.078,0.114298,0.912739,0.879204,0.946275,23,0.00032427,1,0.027468,0.047321,0.007615,0.971599,0.951122,0.992077,0.937144,0.920808,0.953480,0.010675,0.001464,0.023162,0.008792,0.010000
1800,8441.392,0.116576,0.909551,0.879955,0.939147,23,0.00033955,1,0.026787,0.046672,0.006901,0.972262,0.951770,0.992755,0.933326,0.921024,0.945628,0.010403,0.001362,0.022833,0.010063,0.010000
1825,8472.543,0.115460,0.910840,0.880045,0.941635,23,0.00036174,1,0.026792,0.046564,0.007020,0.972264,0.951876,0.992652,0.934635,0.921024,0.948245,0.010434,0.001421,0.022883,0.009592,0.010000
1850,8672.009,0.114392,0.910466,0.879880,0.941051,23,0.00035646,1,0.026581,0.046024,0.007139,0.972450,0.952376,0.992524,0.934073,0.920376,0.947769,0.010145,0.001391,0.022658,0.009621,0.010000
1875,8702.981,0.116029,0.909741,0.880277,0.939204,23,0.00038395,1,0.025966,0.044080,0.007852,0.973004,0.954234,0.991773,0.932829,0.919080,0.946579,0.010098,0.001495,0.022909,0.009882,0.010000
1900,8902.327,0.115378,0.909821,0.880782,0.938860,23,0.00037493,1,0.025020,0.043971,0.006068,0.973989,0.954362,0.993617,0.932034,0.919512,0.944557,0.009973,0.001245,0.022805,0.009958,0.010000
1925,8933.326,0.114861,0.909651,0.882975,0.936326,23,0.00038349,1,0.024259,0.041379,0.007139,0.974712,0.956937,0.992487,0.931261,0.919512,0.943010,0.009461,0.001328,0.022399,0.010404,0.010000
1950,9131.375,0.114885,0.910836,0.881337,0.940336,23,0.00041581,1,0.025658,0.044296,0.007020,0.973362,0.954082,0.992642,0.933656,0.920376,0.946936,0.009955,0.001458,0.022595,0.009896,0.010000
1975,9162.417,0.116372,0.909376,0.879232,0.939519,23,0.00042375,1,0.027917,0.046672,0.009161,0.971081,0.951732,0.990430,0.934197,0.920268,0.948126,0.010269,0.001677,0.022842,0.009876,0.010000
2000,9362.759,0.116496,0.909769,0.880599,0.938939,23,0.00037107,1,0.027133,0.046889,0.007377,0.971931,0.951600,0.992262,0.933877,0.921889,0.945866,0.010397,0.001534,0.022696,0.010085,0.010000
2025,9393.870,0.115420,0.910020,0.881412,0.938629,23,0.00039424,1,0.027435,0.046780,0.008090,0.971633,0.951744,0.991522,0.934434,0.922645,0.946222,0.010334,0.001496,0.022577,0.009889,0.010000
2050,9595.275,0.116338,0.909830,0.881149,0.938511,23,0.00035225,1,0.026733,0.045376,0.008090,0.972286,0.953052,0.991521,0.933618,0.921132,0.946104,0.010237,0.001513,0.022783,0.010039,0.010000
2075,9626.416,0.118740,0.907200,0.880753,0.933648,23,0.00034643,1,0.027069,0.044620,0.009518,0.971874,0.953746,0.990002,0.931293,0.920052,0.942534,0.010070,0.001782,0.022782,0.010791,0.010000
