step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
1550,4807.025,0.083185,0.881961,0.887928,0.875994,14,0.00005391,0,0.031152,0.044139,0.018165,0.967297,0.954555,0.980040,0.909513,0.927120,0.891906,0.004553,0.002230,0.010888,0.013437
1575,4824.388,0.083291,0.880021,0.885107,0.874934,14,0.00005699,0,0.031564,0.043523,0.019604,0.966748,0.954999,0.978497,0.907858,0.923630,0.892086,0.004344,0.002299,0.010926,0.013502
1600,4938.218,0.082884,0.882481,0.889720,0.875243,14,0.00008863,1,0.030871,0.042496,0.019245,0.967537,0.956190,0.978883,0.909808,0.927530,0.892086,0.004435,0.002352,0.010698,0.013516
1625,4955.514,0.084097,0.881476,0.890376,0.872577,14,0.00015284,0,0.031808,0.043112,0.020504,0.966566,0.955640,0.977493,0.909615,0.928762,0.890468,0.004408,0.002533,0.010590,0.013936
1650,5066.761,0.082718,0.883073,0.890419,0.875727,14,0.00017178,0,0.031923,0.043523,0.020324,0.966508,0.955255,0.977760,0.911349,0.929173,0.893525,0.004590,0.002412,0.010650,0.013382
1675,5083.685,0.084171,0.881900,0.889063,0.874736,14,0.00008679,0,0.035582,0.047424,0.023741,0.962858,0.951542,0.974173,0.913365,0.931226,0.895504,0.004853,0.002771,0.010751,0.013475
1700,5197.060,0.082809,0.883791,0.892429,0.875154,14,0.00018995,0,0.033388,0.043933,0.022842,0.965042,0.954966,0.975118,0.913390,0.931636,0.895144,0.004650,0.002607,0.010507,0.013423
1725,5214.141,0.082960,0.882713,0.889303,0.876123,14,0.00017373,0,0.034259,0.047834,0.020683,0.964283,0.951174,0.977393,0.913043,0.931842,0.894245,0.004751,0.002540,0.010570,0.013397
1750,5326.633,0.082071,0.884147,0.892280,0.876013,14,0.00014860,1,0.031860,0.042496,0.021223,0.966569,0.956311,0.976826,0.912402,0.930199,0.894604,0.004502,0.002533,0.010471,0.013334
1775,5343.886,0.083726,0.882299,0.888584,0.876014,14,0.00024351,1,0.033193,0.046602,0.019784,0.965307,0.952281,0.978334,0.911670,0.929994,0.893345,0.004869,0.002362,0.010876,0.013360
1800,5459.166,0.082652,0.882578,0.888105,0.877051,14,0.00018749,1,0.033617,0.047629,0.019604,0.964924,0.951301,0.978548,0.912325,0.930404,0.894245,0.004693,0.002425,0.010584,0.013364
1825,5476.734,0.083126,0.883139,0.890000,0.876278,14,0.00020214,1,0.033758,0.047013,0.020504,0.964779,0.951971,0.977586,0.913043,0.931842,0.894245,0.004901,0.002426,0.010676,0.013322
1850,5589.252,0.081504,0.884987,0.891817,0.878156,14,0.00019882,1,0.031127,0.043728,0.018525,0.967419,0.955130,0.979708,0.912620,0.930815,0.894424,0.004534,0.002314,0.010432,0.013266
1875,5606.589,0.081624,0.885079,0.891701,0.878457,14,0.00024213,1,0.033720,0.046397,0.021043,0.964854,0.952630,0.977077,0.915008,0.933073,0.896942,0.004755,0.002573,0.010425,0.013063
1900,5719.853,0.083201,0.883274,0.889194,0.877354,14,0.00018199,1,0.034465,0.046808,0.022122,0.964023,0.952121,0.975925,0.913789,0.930815,0.896763,0.004799,0.002655,0.010762,0.013202
1925,5737.069,0.082532,0.883586,0.888737,0.878436,14,0.00021882,2,0.034451,0.048039,0.020863,0.964109,0.950954,0.977264,0.914097,0.931431,0.896763,0.004878,0.002487,0.010648,0.013129
1950,5843.872,0.085203,0.880980,0.886674,0.875285,13,0.00003409,2,0.037315,0.050708,0.023921,0.961192,0.948380,0.974003,0.913930,0.931636,0.896223,0.005359,0.002715,0.011074,0.013283
1975,5860.447,0.084920,0.881638,0.885886,0.877390,13,0.00008066,1,0.040703,0.056046,0.025360,0.958031,0.943478,0.972584,0.917589,0.935537,0.899640,0.005742,0.002807,0.011019,0.012994
2000,5965.387,0.084833,0.881376,0.884188,0.878564,13,0.00008785,1,0.037454,0.052967,0.021942,0.961158,0.946172,0.976144,0.914431,0.931020,0.897842,0.005388,0.002681,0.011192,0.013031
2025,5981.551,0.086135,0.881055,0.887087,0.875022,13,0.00015500,1,0.039935,0.050914,0.028957,0.958528,0.948215,0.968841,0.916306,0.932252,0.900360,0.005353,0.003312,0.011034,0.013309
2050,6083.488,0.085576,0.881250,0.886844,0.875657,13,0.00021258,1,0.037817,0.048655,0.026978,0.960578,0.950283,0.970874,0.914637,0.929994,0.899281,0.005059,0.003213,0.010931,0.013409
2075,6099.538,0.085114,0.882733,0.888976,0.876489,13,0.00016914,1,0.037534,0.048450,0.026619,0.960927,0.950586,0.971268,0.915933,0.932047,0.899820,0.005029,0.003261,0.010776,0.013411
2100,6201.337,0.088832,0.879076,0.885374,0.872778,13,0.00000483,1,0.041669,0.051324,0.032014,0.956710,0.947742,0.965677,0.915767,0.930815,0.900719,0.005370,0.003883,0.011155,0.013828
2125,6217.237,0.085213,0.882719,0.889585,0.875852,13,0.00019128,0,0.038626,0.048655,0.028597,0.959831,0.950429,0.969234,0.916884,0.932868,0.900899,0.005021,0.003412,0.010761,0.013381
2150,6320.275,0.087168,0.880793,0.887261,0.874326,13,0.00033851,0,0.041991,0.050708,0.033273,0.956445,0.948413,0.964478,0.917835,0.932252,0.903417,0.005051,0.004015,0.010822,0.013622
